dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | D",256,9,       0.045613
1,float,uniform,PoisFFT,"D | D",256,10,       0.045610
1,float,uniform,PoisFFT,"D | D",256,11,       0.045598
1,float,uniform,PoisFFT,"D | D",256,12,       0.045683
1,float,uniform,PoisFFT,"D | D",256,13,       0.045597
1,float,uniform,PoisFFT,"D | D",256,14,       0.045597
1,float,uniform,PoisFFT,"D | D",256,15,       0.045603
1,float,uniform,PoisFFT,"D | D",256,16,       0.042952
1,float,uniform,PoisFFT,"D | D",256,17,       0.055865
1,float,uniform,PoisFFT,"D | D",256,18,       0.047336
1,float,uniform,PoisFFT,"D | D",256,19,       0.047351
1,float,uniform,PoisFFT,"D | D",320,0,       0.034340
1,float,uniform,PoisFFT,"D | D",320,1,       0.033873
1,float,uniform,PoisFFT,"D | D",320,2,       0.050201
1,float,uniform,PoisFFT,"D | D",320,3,       0.035628
1,float,uniform,PoisFFT,"D | D",320,4,       0.035650
1,float,uniform,PoisFFT,"D | D",320,5,       0.035588
1,float,uniform,PoisFFT,"D | D",320,6,       0.035638
1,float,uniform,PoisFFT,"D | D",320,7,       0.035602
1,float,uniform,PoisFFT,"D | D",320,8,       0.035620
1,float,uniform,PoisFFT,"D | D",320,9,       0.035635
1,float,uniform,PoisFFT,"D | D",320,10,       0.035625
1,float,uniform,PoisFFT,"D | D",320,11,       0.035668
1,float,uniform,PoisFFT,"D | D",320,12,       0.035609
1,float,uniform,PoisFFT,"D | D",320,13,       0.035609
1,float,uniform,PoisFFT,"D | D",320,14,       0.035606
1,float,uniform,PoisFFT,"D | D",320,15,       0.035622
1,float,uniform,PoisFFT,"D | D",320,16,       0.035596
1,float,uniform,PoisFFT,"D | D",320,17,       0.035599
1,float,uniform,PoisFFT,"D | D",320,18,       0.035668
1,float,uniform,PoisFFT,"D | D",320,19,       0.038515
1,float,uniform,PoisFFT,"D | D",384,0,       0.013819
1,float,uniform,PoisFFT,"D | D",384,1,       0.014309
1,float,uniform,PoisFFT,"D | D",384,2,       0.014074
1,float,uniform,PoisFFT,"D | D",384,3,       0.014111
1,float,uniform,PoisFFT,"D | D",384,4,       0.014178
1,float,uniform,PoisFFT,"D | D",384,5,       0.014106
1,float,uniform,PoisFFT,"D | D",384,6,       0.014089
1,float,uniform,PoisFFT,"D | D",384,7,       0.014067
1,float,uniform,PoisFFT,"D | D",384,8,       0.014062
1,float,uniform,PoisFFT,"D | D",384,9,       0.014102
1,float,uniform,PoisFFT,"D | D",384,10,       0.014052
1,float,uniform,PoisFFT,"D | D",384,11,       0.014120
1,float,uniform,PoisFFT,"D | D",384,12,       0.031240
1,float,uniform,PoisFFT,"D | D",384,13,       0.014719
1,float,uniform,PoisFFT,"D | D",384,14,       0.025693
1,float,uniform,PoisFFT,"D | D",384,15,       0.014153
1,float,uniform,PoisFFT,"D | D",384,16,       0.014066
1,float,uniform,PoisFFT,"D | D",384,17,       0.014093
1,float,uniform,PoisFFT,"D | D",384,18,       0.014066
1,float,uniform,PoisFFT,"D | D",384,19,       0.014072
1,float,uniform,PoisFFT,"D | D",448,0,       0.098591
1,float,uniform,PoisFFT,"D | D",448,1,       0.078619
1,float,uniform,PoisFFT,"D | D",448,2,       0.078411
1,float,uniform,PoisFFT,"D | D",448,3,       0.078395
1,float,uniform,PoisFFT,"D | D",448,4,       0.101318
1,float,uniform,PoisFFT,"D | D",448,5,       0.084228
1,float,uniform,PoisFFT,"D | D",448,6,       0.084148
1,float,uniform,PoisFFT,"D | D",448,7,       0.084245
1,float,uniform,PoisFFT,"D | D",448,8,       0.084091
1,float,uniform,PoisFFT,"D | D",448,9,       0.084139
1,float,uniform,PoisFFT,"D | D",448,10,       0.084182
1,float,uniform,PoisFFT,"D | D",448,11,       0.084124
1,float,uniform,PoisFFT,"D | D",448,12,       0.084124
1,float,uniform,PoisFFT,"D | D",448,13,       0.084181
1,float,uniform,PoisFFT,"D | D",448,14,       0.084134
1,float,uniform,PoisFFT,"D | D",448,15,       0.087559
1,float,uniform,PoisFFT,"D | D",448,16,       0.084212
1,float,uniform,PoisFFT,"D | D",448,17,       0.093311
1,float,uniform,PoisFFT,"D | D",448,18,       0.078452
1,float,uniform,PoisFFT,"D | D",448,19,       0.078375
1,float,uniform,PoisFFT,"D | D",512,0,       0.040007
1,float,uniform,PoisFFT,"D | D",512,1,       0.024395
1,float,uniform,PoisFFT,"D | D",512,2,       0.024361
1,float,uniform,PoisFFT,"D | D",512,3,       0.024362
1,float,uniform,PoisFFT,"D | D",512,4,       0.024338
1,float,uniform,PoisFFT,"D | D",512,5,       0.024345
1,float,uniform,PoisFFT,"D | D",512,6,       0.041058
1,float,uniform,PoisFFT,"D | D",512,7,       0.025260
1,float,uniform,PoisFFT,"D | D",512,8,       0.025288
1,float,uniform,PoisFFT,"D | D",512,9,       0.025256
1,float,uniform,PoisFFT,"D | D",512,10,       0.025232
1,float,uniform,PoisFFT,"D | D",512,11,       0.028466
1,float,uniform,PoisFFT,"D | D",512,12,       0.025238
1,float,uniform,PoisFFT,"D | D",512,13,       0.025971
1,float,uniform,PoisFFT,"D | D",512,14,       0.025272
1,float,uniform,PoisFFT,"D | D",512,15,       0.025296
1,float,uniform,PoisFFT,"D | D",512,16,       0.025257
1,float,uniform,PoisFFT,"D | D",512,17,       0.025309
1,float,uniform,PoisFFT,"D | D",512,18,       0.025263
1,float,uniform,PoisFFT,"D | D",512,19,       0.025282
