dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,      16.300993
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,      18.597318
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,      18.442867
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,      18.617604
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,      18.577535
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,      18.564814
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,      18.417563
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,      18.346790
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,      18.627428
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,      18.318138
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,      18.398361
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,      18.318720
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,      18.221242
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       5.750991
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       1.187613
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       1.038959
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       1.087070
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       1.128338
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       1.092622
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       1.167114
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       6.492306
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       6.180542
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       6.009464
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       6.037576
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       6.075744
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       6.061753
