dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,0,       0.057891
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,1,       0.055676
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,2,       0.055612
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,3,       0.055004
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,4,       0.054996
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,5,       0.055211
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,6,       0.055374
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,7,       0.055306
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,8,       0.055229
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,9,       0.055007
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,10,       0.055353
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,11,       0.055217
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,12,       0.054938
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,13,       0.055259
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,14,       0.054994
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,15,       0.055108
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,16,       0.081529
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,17,       0.074407
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,18,       0.074332
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,19,       0.074552
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,0,       0.277509
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,1,       0.278291
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,2,       0.271765
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,3,       0.274733
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,4,       0.275318
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,5,       0.274249
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,6,       0.271585
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,7,       0.274316
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,8,       0.273932
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,9,       0.275822
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,10,       0.274366
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,11,       0.273888
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,12,       0.274625
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,13,       0.274172
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,14,       0.273336
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,15,       0.275946
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,16,       0.273546
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,17,       0.273176
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,18,       0.276711
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,19,       0.274373
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,0,       0.734280
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,1,       0.729511
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,2,       0.728868
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,3,       0.729150
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,4,       0.728252
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,5,       0.728599
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,6,       0.725030
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,7,       0.725605
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,8,       0.725349
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,9,       0.729415
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,10,       0.729452
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,11,       0.729229
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,12,       0.728538
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,13,       0.729193
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,14,       0.729463
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,15,       0.729290
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,16,       0.724681
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,17,       0.725266
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,18,       0.729063
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,19,       0.729469
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,0,       1.795273
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,1,       1.794440
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,2,       1.816508
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,3,       1.964857
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,4,       1.872563
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,5,       1.868072
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,6,       1.933122
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,7,       1.841317
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,8,       1.799429
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,9,       1.798432
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,10,       1.793255
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,11,       1.870597
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,12,       1.796694
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,13,       1.798225
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,14,       1.798288
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,15,       1.798659
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,16,       1.794703
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,17,       1.869629
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,18,       1.799562
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,19,       1.799575
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,0,       2.150586
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,1,       2.147383
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,2,       2.146492
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,3,       2.149165
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,4,       2.148091
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,5,       2.151934
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,6,       2.153408
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,7,       2.158685
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,8,       2.148414
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,9,       2.199246
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,10,       2.147085
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,11,       2.150757
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,12,       2.199586
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,13,       2.146523
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,14,       2.146726
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,15,       2.150196
