dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,      16.586926
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,      19.218065
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,      19.340606
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,      19.360699
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,      19.062711
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,      18.885860
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,      18.906049
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,      18.953674
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,      18.873210
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,      18.933469
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,      18.903158
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,      18.709974
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,      16.572679
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       2.000412
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.946971
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.904710
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.788104
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.653749
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       1.986830
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.918333
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,0,      10.271707
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,1,       9.581634
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,2,       9.399302
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,3,       9.750091
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,4,       9.548606
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,5,       9.799547
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,6,       9.609416
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,7,       9.249347
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,8,       9.635850
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,9,       9.986253
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,10,       9.937022
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,11,       9.756954
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,12,       9.400328
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,13,       9.443856
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,14,      12.194504
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,15,       9.056521
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,16,       9.817893
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,17,       9.574255
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,18,      10.017555
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,19,       9.265032
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,0,      32.650347
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,1,      32.374602
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,2,      32.271064
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,3,      32.142538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,4,      32.275960
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,5,      32.318648
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,6,      31.850842
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,7,      32.179271
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,8,      31.803395
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,9,      32.509612
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,10,      32.132519
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,11,      32.130541
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,12,      32.400967
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,13,      31.978921
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,14,      32.640902
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,15,      31.648271
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,16,      32.049292
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,17,      43.887096
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,18,      31.849243
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,19,      32.217382
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,0,      89.684872
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,1,      89.830308
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,2,      86.156250
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,3,      85.707781
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,4,     108.385358
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,5,     109.193246
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,6,      98.298761
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,7,      93.678986
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,8,      97.329273
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,9,      92.147393
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,10,      95.856077
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,11,      95.375520
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,12,      96.864257
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,13,      96.396722
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,14,      93.128612
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,15,      93.998688
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,16,      90.425185
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,17,     100.225978
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,18,      91.811583
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,19,      98.277448
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,0,     204.536801
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,1,     205.994642
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,2,     221.396153
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,3,     203.377989
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,4,     208.674107
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,5,     207.030376
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,6,     186.038594
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,7,     179.860202
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,8,     178.769947
