dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,      15.435507
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,      16.016048
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,      12.663699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,      15.396940
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,      12.221022
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.586583
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.621017
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.621691
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.614752
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.651692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.623079
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.634514
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.624784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.624351
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.626579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.645146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.626416
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.619733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.637994
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,       0.634796
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,       5.380713
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,       4.780221
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,       4.740544
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,       4.734609
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,       4.730430
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,       4.721057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,       4.743650
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,       4.687399
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,       4.786035
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,       4.809265
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,       4.786191
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,       4.708430
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,       4.746953
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,       4.720354
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,       4.737918
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,       4.784064
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,       4.829349
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,       4.838903
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,       4.900849
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,       4.717521
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,      17.632843
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,      19.730886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,      18.754439
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,      17.260772
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,      17.113459
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,      17.663743
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,      17.132979
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,      17.286792
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,      17.065113
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,      17.109037
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,      17.154443
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,      17.257302
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,      17.186422
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,      17.157224
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,      17.183676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,      17.223647
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,      17.218710
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,      17.416189
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,      17.187871
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,      17.360910
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,0,      65.150924
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,1,      63.281683
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,2,      61.670800
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,3,      68.677135
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,4,      62.985314
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,5,      62.502775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,6,      64.196832
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,7,      62.574310
