dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,0,     689.493840
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,1,     546.810235
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,2,     543.319457
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,3,     547.519571
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,4,     562.805048
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,5,     543.807798
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,6,     555.378602
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,7,     563.522008
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,8,     549.632176
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,9,     568.190695
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,10,     552.149707
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,11,     553.036324
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,12,     435.339960
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,13,     413.761669
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,14,     403.655039
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,15,     404.404628
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,16,     404.227758
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,17,     403.918906
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,18,     408.603514
3,double,uniform,PoisFFT,"P | P | P | P | D | N",448,19,     407.736007
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,0,    1310.177930
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,1,    1257.265835
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,2,    1283.948181
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,3,    1230.787110
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,4,    1269.232321
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,5,    1255.666506
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,6,    1268.154302
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,7,    1221.016071
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,8,    1236.206943
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,9,    1210.451061
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,10,    1188.701347
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,11,    1213.092806
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,12,    1224.232176
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,13,    1270.752142
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,14,    1208.114338
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,15,    1209.508573
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,16,    1220.814321
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,17,    1187.317679
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,18,    1196.752599
3,double,uniform,PoisFFT,"P | P | P | P | D | N",512,19,    1211.163477
