dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,      15.641803
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,1,      16.581229
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,2,      17.035378
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,3,      17.426653
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,4,      17.532123
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,5,      17.446023
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,6,      17.343869
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,7,      17.598796
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,8,      17.322617
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,9,      17.344269
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,10,      17.368526
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,11,      17.144458
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,12,      13.099914
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,13,       0.855369
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,14,       0.928287
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,15,       0.801524
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,16,       0.836836
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,17,       0.894146
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,18,       0.803763
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,19,       0.881552
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,0,       4.642352
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,1,       4.555834
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,2,       5.429765
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,3,       4.385103
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,4,       4.420669
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,5,       4.523459
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,6,       4.790406
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,7,       4.431520
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,8,       4.478129
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,9,       4.377627
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,10,       4.362810
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,11,       4.669300
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,12,       4.469958
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,13,       4.590498
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,14,       4.566285
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,15,       4.377179
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,16,       4.513981
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,17,       4.536998
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,18,       4.555520
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,19,       4.339669
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,0,      15.370553
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,1,      15.394347
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,2,      15.375867
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,3,      15.349697
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,4,      15.432061
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,5,      15.417994
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,6,      15.450478
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,7,      15.288712
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,8,      15.339387
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,9,      15.256238
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,10,      15.354155
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,11,      15.285775
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,12,      15.228922
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,13,      17.999657
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,14,      15.039085
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,15,      15.104625
