dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,0,      16.968718
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,1,      19.901045
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,2,      19.517023
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,3,      19.439303
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,4,      19.633155
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,5,      19.420061
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,6,      19.660084
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,7,      19.464315
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,8,      19.212633
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,9,      19.246520
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,10,      19.461740
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,11,      19.135349
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,12,      19.178763
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,13,      19.279255
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,14,      19.681680
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,15,      19.462721
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,16,      19.092150
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,17,      19.086053
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,18,      19.595822
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,19,      19.322177
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,0,      15.534572
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,1,      14.682198
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,2,      14.669252
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,3,      14.706485
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,4,      14.666294
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,5,      14.718749
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,6,      14.685450
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,7,      14.662958
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,8,      14.665082
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,9,      14.695573
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,10,      14.665053
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,11,      14.686543
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,12,      14.658250
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,13,      14.687340
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,14,      14.602893
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,15,      16.149108
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,16,      14.645493
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,17,      14.624753
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,18,      14.744209
3,float,uniform,PoisFFT,"D | D | D | D | N | D",128,19,      14.629253
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,0,      90.112132
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,1,      88.997033
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,2,      88.347011
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,3,      88.257629
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,4,      88.752141
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,5,      88.426780
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,6,      88.327611
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,7,      88.578100
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,8,      88.298513
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,9,      88.523967
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,10,      90.547354
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,11,      89.177736
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,12,      88.546721
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,13,      88.493882
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,14,      88.746131
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,15,      88.336133
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,16,      88.504877
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,17,      88.662531
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,18,      88.522489
3,float,uniform,PoisFFT,"D | D | D | D | N | D",192,19,      88.570401
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,0,     252.005823
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,1,     251.934046
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,2,     249.255868
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,3,     246.575555
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,4,     250.256485
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,5,     250.679527
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,6,     257.291799
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,7,     262.554319
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,8,     263.850816
3,float,uniform,PoisFFT,"D | D | D | D | N | D",256,9,     258.168465
