dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       6.649731
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       1.061905
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       1.105312
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       1.084260
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       1.088942
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       1.111500
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       1.124405
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       1.095759
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       1.108704
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       1.138517
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       1.036577
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       1.092217
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       1.169686
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       1.137432
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       1.114980
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       1.107078
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       1.066549
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       1.147484
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       1.162197
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       1.200696
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       6.624177
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       6.592726
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       6.577665
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       6.531262
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       6.380437
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       6.573036
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       6.528675
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       6.511661
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       6.595065
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       6.447445
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       6.480959
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       8.923595
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       6.505228
