dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ds",64,0,       0.005360
1,float,uniform,PoisFFT,"Ns | Ds",64,1,       0.000560
1,float,uniform,PoisFFT,"Ns | Ds",64,2,       0.000460
1,float,uniform,PoisFFT,"Ns | Ds",64,3,       0.000440
1,float,uniform,PoisFFT,"Ns | Ds",64,4,       0.000440
1,float,uniform,PoisFFT,"Ns | Ds",64,5,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,6,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,7,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,8,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,9,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,10,       0.000440
1,float,uniform,PoisFFT,"Ns | Ds",64,11,       0.000410
1,float,uniform,PoisFFT,"Ns | Ds",64,12,       0.000410
1,float,uniform,PoisFFT,"Ns | Ds",64,13,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,14,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,15,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,16,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,17,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,18,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,19,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,20,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,21,       0.000429
1,float,uniform,PoisFFT,"Ns | Ds",64,22,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,23,       0.000429
1,float,uniform,PoisFFT,"Ns | Ds",64,24,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,25,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,26,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,27,       0.000440
1,float,uniform,PoisFFT,"Ns | Ds",64,28,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,29,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,30,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,31,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,32,       0.000420
1,float,uniform,PoisFFT,"Ns | Ds",64,33,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,34,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,35,       0.000440
1,float,uniform,PoisFFT,"Ns | Ds",64,36,       0.000430
1,float,uniform,PoisFFT,"Ns | Ds",64,37,       0.000420
