dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       2.080037
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.574044
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.567024
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.542694
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.529295
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.511705
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.527204
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.513694
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.548194
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.557234
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.554574
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.560414
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.511875
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.522124
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.543094
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.544824
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.547504
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.513574
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.505815
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.555144
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.524944
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.513165
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.518534
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.542374
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.545554
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.545904
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.511845
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.506954
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.509565
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.543914
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.546994
