dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,       1.865609
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       1.767921
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       1.261456
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       1.448914
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       1.733220
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       1.565992
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       1.733821
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       1.623822
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       1.281016
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       1.597982
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       1.931639
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       1.666961
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       1.794869
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       1.733431
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.318785
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.628832
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       1.751601
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       1.999328
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       2.940747
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       1.482233
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,20,       1.647031
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,21,       1.696051
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,22,       1.874959
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,23,       1.344225
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,24,       1.555123
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,25,       1.717481
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,26,       1.637332
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,27,       1.286396
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,28,       1.840939
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,29,       1.531283
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,30,       1.442984
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,31,       1.686812
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,32,       1.821270
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,33,       1.420664
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,34,       1.718401
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,35,       1.474243
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,36,       1.937779
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,37,       1.328506
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,38,       1.447584
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,39,       1.853819
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,40,       1.735341
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,41,       1.876849
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,42,       1.600362
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,43,       1.550413
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,44,       1.659842
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,45,       1.302616
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,46,       1.681151
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,47,       1.687781
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,48,       1.651131
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,49,       2.030617
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,50,       1.338694
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,51,       1.520603
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,52,       1.568833
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,53,       1.501583
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,54,       1.575662
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,55,       1.744840
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,56,       1.484183
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,57,       1.551513
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,58,       1.768481
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,59,       1.883330
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,60,       1.737831
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,61,       1.642122
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,62,       1.454304
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,63,       1.771521
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,64,       1.540203
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,65,       1.624752
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,66,       1.765821
