dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.756421
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       0.414166
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.423656
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.427096
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.419545
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.418665
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.419755
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.415296
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.405106
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.429655
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.411566
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.423176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.406946
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.396786
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.406896
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.397086
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.405975
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.392836
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.389306
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.394926
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,20,       0.393706
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,21,       0.391665
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,22,       0.395766
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,23,       0.397796
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,24,       0.396046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,25,       0.395086
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,26,       0.386406
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,27,       0.389416
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,28,       0.387346
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,29,       0.387776
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,30,       0.390106
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,31,       0.388916
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,32,       0.391676
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,33,       0.390556
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,34,       0.396796
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,35,       0.403805
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,36,       0.402206
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,37,       0.396776
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,38,       0.407656
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,39,       0.387666
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,40,       0.392016
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,41,       0.393756
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,42,       0.390065
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,43,       0.397666
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,44,       0.411535
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,45,       0.406455
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,46,       0.403676
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,47,       0.406626
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,48,       0.398396
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,49,       0.396166
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,50,       0.405516
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,51,       0.404086
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,52,       0.397426
