dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.721702
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.289957
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.306137
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.294247
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.297377
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.305207
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.297097
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.302597
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.293897
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.298237
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.301637
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.293887
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.300207
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.300177
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.294477
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.301717
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.296847
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.296047
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.309567
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.303467
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,20,       0.296116
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,21,       0.294346
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,22,       0.298337
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,23,       0.305617
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,24,       0.299007
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,25,       0.300457
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,26,       0.301407
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,27,       0.289486
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,28,       0.292697
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,29,       0.289627
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,30,       0.282347
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,31,       0.286947
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,32,       0.281077
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,33,       0.283177
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,34,       0.284437
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,35,       0.288307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,36,       0.283828
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,37,       0.281937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,38,       0.280726
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,39,       0.282307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,40,       0.281327
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,41,       0.292757
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,42,       0.285857
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,43,       0.285917
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,44,       0.288287
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,45,       0.285547
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,46,       0.285587
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,47,       0.289557
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,48,       0.283787
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,49,       0.284837
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,50,       0.281177
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,51,       0.284507
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,52,       0.282437
