dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.752662
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.412686
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.429935
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.430066
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.417936
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.393465
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.403186
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.398146
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.392365
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.392626
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.393286
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.405156
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.384436
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.377176
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.392576
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.376026
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.375386
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.389846
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.389246
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.393205
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,20,       0.392906
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,21,       0.394935
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,22,       0.390285
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,23,       0.409196
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,24,       0.382946
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,25,       0.394846
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,26,       0.385766
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,27,       0.382916
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,28,       0.395346
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,29,       0.388236
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,30,       0.390996
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,31,       0.395045
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,32,       0.373616
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,33,       0.375886
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,34,       0.379296
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,35,       0.376896
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,36,       0.382976
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,37,       0.390916
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,38,       0.386006
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,39,       0.394605
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,40,       0.395626
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,41,       0.388616
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,42,       0.385546
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,43,       0.384406
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,44,       0.374996
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,45,       0.360096
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,46,       0.384396
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,47,       0.371276
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,48,       0.385696
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,49,       0.383846
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,50,       0.393086
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,51,       0.392176
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,52,       0.403356
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,53,       0.395846
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,54,       0.399515
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,55,       0.390006
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,56,       0.380006
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,57,       0.405726
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,58,       0.407035
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,59,       0.392506
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,60,       0.405335
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,61,       0.417925
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,62,       0.413305
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,63,       0.387516
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,64,       0.388786
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,65,       0.384836
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,66,       0.390276
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,67,       0.371396
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,68,       0.387296
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,69,       0.390886
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,70,       0.390856
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,71,       0.375346
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,72,       0.377776
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,73,       0.387726
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,74,       0.368346
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       6.258283
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,1,      10.233431
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       5.959626
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       5.943346
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       5.759799
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       5.772379
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       5.827959
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       5.964037
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       5.730150
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       5.810078
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       5.822528
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       5.787139
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       5.825988
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       6.258743
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       5.906487
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       5.820848
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       5.584961
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       5.938066
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       5.694109
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       5.789228
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,20,       5.796028
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,21,       5.659560
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,22,       5.878218
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,23,       5.875958
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,24,       5.910447
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,25,       5.833998
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,26,       5.641890
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,27,       5.972056
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,28,       5.897268
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,29,       5.848318
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,30,       5.792198
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,31,       5.930187
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,32,       5.634490
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,33,       5.899037
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,34,       5.694940
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,35,       5.727659
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,36,       5.973586
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,37,       5.907157
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,38,       6.003856
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,39,       5.929537
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,40,       5.872137
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,41,       5.900357
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,42,       5.955366
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,43,       5.675460
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,44,       6.022936
