dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,55,       1.351116
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,56,       1.563634
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,57,       1.857260
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,58,       1.700271
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,59,       2.082838
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,60,       1.340535
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,61,       1.450174
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,62,       1.575343
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,63,       1.592493
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,64,       1.646382
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,65,       1.722951
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,66,       1.426725
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,67,       1.241107
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,68,       1.418135
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,69,       1.544353
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,70,       1.446354
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,71,       1.518574
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,72,       1.427274
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,73,       1.613882
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,74,       1.803591
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,       4.193195
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,       4.069986
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,       4.059416
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,       4.105626
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,       4.032237
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,       4.140606
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,       4.098606
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,       4.065297
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,       4.018737
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,       4.139535
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,       4.212895
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,       4.038837
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,       4.045076
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,       4.291823
