dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,       1.869740
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,       0.231957
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,       0.228948
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,       0.236087
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.231308
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.235337
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.233238
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.231407
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.300367
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.236828
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.242897
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.234997
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.232777
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.236108
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.235937
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.240798
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.230547
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.230528
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.227957
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.227237
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,       0.232728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,       0.227298
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,22,       0.224957
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,23,       0.229458
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,24,       0.231267
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,25,       0.226278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,26,       0.225808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,27,       0.253347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,28,       0.226427
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,       0.223687
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,30,       0.227698
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,31,       0.227668
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,32,       0.227297
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,33,       0.224548
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,34,       0.230708
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,35,       0.226628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,36,       0.231768
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,37,       0.236237
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,38,       0.231547
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,39,       0.243427
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,40,       0.236047
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,41,       0.235698
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,42,       0.228758
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,43,       0.227268
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,44,       0.227948
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,45,       0.226668
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,46,       0.233107
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,47,       0.233968
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,48,       0.224788
