dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       1.369886
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.277617
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.283397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.283677
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.281517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.292957
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.284957
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.281617
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.284017
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.278797
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.288587
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.281527
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.283247
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.281777
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.280997
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.281267
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.287197
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.284897
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.285177
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.280407
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,20,       0.281047
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,21,       0.284088
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,22,       0.287587
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,23,       0.288097
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,24,       0.282646
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,25,       0.278577
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,26,       0.279947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,27,       0.278346
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,28,       0.280777
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,29,       0.274517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,30,       0.279417
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,31,       0.279597
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,32,       0.282607
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,33,       0.287567
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,34,       0.285567
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,35,       0.279657
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,36,       0.281837
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,37,       0.278977
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,38,       0.278907
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,39,       0.277457
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,40,       0.278257
