dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,72,       0.402996
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,73,       0.394486
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,74,       0.393856
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,0,       6.200025
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,1,       6.027146
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,2,       5.986897
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,3,       6.065076
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,4,       5.910767
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,5,       6.060406
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,6,       6.047776
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,7,       6.072866
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,8,       5.918647
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,9,       5.952147
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,10,       6.090226
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,11,       5.992237
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,12,       6.120815
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,13,       6.030476
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,14,       6.169604
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,15,       5.973827
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,16,       6.007486
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,17,       5.943117
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,18,       6.301163
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,19,       6.100386
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,20,       6.086345
3,double,uniform,PoisFFT,"P | P | P | P | D | N",128,21,       5.929337
