dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | N",256,68,       0.001580
1,float,uniform,PoisFFT,"D | N",256,69,       0.001570
1,float,uniform,PoisFFT,"D | N",256,70,       0.001590
1,float,uniform,PoisFFT,"D | N",256,71,       0.001580
1,float,uniform,PoisFFT,"D | N",256,72,       0.001570
1,float,uniform,PoisFFT,"D | N",256,73,       0.001590
1,float,uniform,PoisFFT,"D | N",256,74,       0.001590
1,float,uniform,PoisFFT,"D | N",320,0,       0.003829
1,float,uniform,PoisFFT,"D | N",320,1,       0.002440
1,float,uniform,PoisFFT,"D | N",320,2,       0.002350
1,float,uniform,PoisFFT,"D | N",320,3,       0.002280
1,float,uniform,PoisFFT,"D | N",320,4,       0.002290
1,float,uniform,PoisFFT,"D | N",320,5,       0.002250
1,float,uniform,PoisFFT,"D | N",320,6,       0.002290
1,float,uniform,PoisFFT,"D | N",320,7,       0.002250
1,float,uniform,PoisFFT,"D | N",320,8,       0.002270
1,float,uniform,PoisFFT,"D | N",320,9,       0.002280
1,float,uniform,PoisFFT,"D | N",320,10,       0.002300
1,float,uniform,PoisFFT,"D | N",320,11,       0.002300
1,float,uniform,PoisFFT,"D | N",320,12,       0.002220
1,float,uniform,PoisFFT,"D | N",320,13,       0.002229
1,float,uniform,PoisFFT,"D | N",320,14,       0.002280
1,float,uniform,PoisFFT,"D | N",320,15,       0.002250
1,float,uniform,PoisFFT,"D | N",320,16,       0.002270
1,float,uniform,PoisFFT,"D | N",320,17,       0.002270
1,float,uniform,PoisFFT,"D | N",320,18,       0.002260
1,float,uniform,PoisFFT,"D | N",320,19,       0.002260
1,float,uniform,PoisFFT,"D | N",320,20,       0.002250
1,float,uniform,PoisFFT,"D | N",320,21,       0.002270
1,float,uniform,PoisFFT,"D | N",320,22,       0.002260
1,float,uniform,PoisFFT,"D | N",320,23,       0.002270
1,float,uniform,PoisFFT,"D | N",320,24,       0.002280
