dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.568584
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.297277
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.295697
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.293306
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.294687
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.299497
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.305037
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.303967
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.289268
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.292607
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.297587
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.295767
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.304247
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.296467
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.299676
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.304117
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.299287
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.298487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.303337
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.292407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,20,       0.292227
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,21,       0.291136
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,22,       0.301976
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,23,       0.298947
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,24,       0.293117
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,25,       0.295507
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,26,       0.290957
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,27,       0.293937
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,28,       0.298397
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,29,       0.294707
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,30,       0.288877
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,31,       0.284977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,32,       0.289837
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,33,       0.281637
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,34,       0.286677
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,35,       0.280697
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,36,       0.284627
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,37,       0.280537
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,38,       0.283097
