dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,0,       1.854130
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,1,       0.407175
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,2,       0.432236
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,3,       0.426125
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,4,       0.419616
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,5,       0.425796
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,6,       0.406925
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,7,       0.417286
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,8,       0.396786
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,9,       0.399135
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,10,       0.411426
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,11,       0.404206
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,12,       0.393786
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,13,       0.389026
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,14,       0.392506
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,15,       0.393616
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,16,       0.396015
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,17,       0.388266
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,18,       0.396165
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,19,       0.389856
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,20,       0.380196
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,21,       0.384636
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,22,       0.383686
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,23,       0.388336
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,24,       0.382956
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,25,       0.391925
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,26,       0.385926
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,27,       0.382316
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,28,       0.387966
