dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       2.070207
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       0.552444
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       0.731522
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       0.578074
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       0.577224
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       0.716512
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       0.613743
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       0.706793
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       0.506584
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       0.568114
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       0.579203
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       0.536024
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       0.522705
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.577294
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.654443
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       0.666173
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.516314
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       0.522055
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       0.546134
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       0.663182
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,20,       0.526185
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,21,       0.587364
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,22,       0.873451
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,23,       0.545894
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,24,       0.687273
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,25,       0.608333
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,26,       0.517885
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,27,       0.674633
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,28,       0.527045
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,29,       0.611293
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,30,       0.561864
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,31,       0.612603
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,32,       0.556914
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,33,       0.729252
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,34,       0.520785
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,35,       0.509875
