dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,       1.782360
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,1,       0.379745
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,2,       0.395276
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,3,       0.380476
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,4,       0.388136
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,5,       0.364346
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,6,       0.370256
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,7,       0.363206
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,8,       0.376026
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,9,       0.363456
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,10,       0.363126
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,11,       0.351477
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,12,       0.361076
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,13,       0.373696
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,14,       0.357016
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,15,       0.356636
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,16,       0.356926
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,17,       0.343986
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,18,       0.340796
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,19,       0.337366
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,20,       3.857017
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,21,       0.336007
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,22,       0.337927
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,23,       0.368836
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,24,       0.347736
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,25,       0.351956
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,26,       0.339716
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,27,       0.349296
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,28,       0.361336
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,29,       0.360515
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,30,       0.348746
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,31,       0.359305
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,32,       0.347816
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,33,       0.357496
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,34,       0.333956
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,35,       0.338606
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,36,       0.355796
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,37,       0.332356
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,38,       0.334536
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,39,       0.339776
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,40,       0.344477
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,41,       0.328797
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,42,       0.347776
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,43,       0.356116
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,44,       0.336087
3,double,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,45,       0.333987
