dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,0,       1.492794
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,1,       0.322247
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       0.326216
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       0.318806
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       0.319517
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       0.321466
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       0.325396
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       0.318787
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       0.323596
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       0.329936
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       0.327667
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       0.322727
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       0.323176
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       0.322466
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       0.321986
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       0.319827
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       0.328516
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       0.329256
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       0.318156
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       0.321237
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,20,       0.319777
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,21,       0.321627
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,22,       0.321396
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,23,       0.321766
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,24,       0.324247
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,25,       0.325987
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,26,       0.321326
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,27,       0.321467
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,28,       0.318267
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,29,       0.321306
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,30,       0.316377
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,31,       0.329836
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,32,       0.334197
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,33,       0.320937
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,34,       0.324236
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,35,       0.317876
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,36,       0.319387
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,37,       0.319436
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,38,       0.325706
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,39,       0.323737
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,40,       0.320967
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,41,       0.324347
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,42,       0.319527
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,43,       0.323406
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,44,       0.323127
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,45,       0.318096
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,46,       0.323947
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,47,       0.320397
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,48,       0.324637
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,49,       0.320937
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,50,       0.319797
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,51,       0.320727
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,52,       0.320197
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,53,       0.320806
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,54,       0.317476
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,55,       0.321427
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,56,       0.323336
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,57,       0.319486
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,58,       0.326477
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,59,       0.322956
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,60,       0.319906
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,61,       0.318147
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,62,       0.317396
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,63,       0.318387
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,64,       0.316387
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,65,       0.319607
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,66,       0.322867
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,67,       0.321197
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,68,       0.325437
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,69,       0.315546
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,70,       0.316286
