dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.512934
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       0.287257
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.301507
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.304687
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.299847
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.295507
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.296177
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.296997
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.296017
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.304407
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.295607
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.290557
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.296037
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.291437
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.301877
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.294487
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.295237
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.294117
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.292367
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.286747
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,20,       0.297027
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,21,       0.291637
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,22,       0.289517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,23,       0.287917
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,24,       0.287006
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,25,       0.287667
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,26,       0.296097
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,27,       0.293397
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,28,       0.292327
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,29,       0.291917
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,30,       0.281527
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,31,       0.281437
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,32,       0.286387
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,33,       0.284407
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,34,       0.281237
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,35,       0.276328
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,36,       0.276007
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,37,       0.279467
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,38,       0.277127
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,39,       0.280426
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,40,       0.280677
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,41,       0.287457
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,42,       0.284877
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,43,       0.275207
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,44,       0.278107
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,45,       0.274278
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,46,       0.274507
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,47,       0.272387
