dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,65,       0.034860
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,66,       0.035360
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,67,       0.035099
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,68,       0.035079
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,69,       0.034840
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,70,       0.035110
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,71,       0.035430
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,72,       0.035430
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,73,       0.035300
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,74,       0.035290
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,0,       0.176669
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,1,       0.171338
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,2,       0.170828
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,3,       0.169938
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,4,       0.170269
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,5,       0.170658
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,6,       0.170868
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,7,       0.169778
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,8,       0.171358
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,9,       0.171328
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,10,       0.170028
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,11,       0.176719
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,12,       0.170569
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,13,       0.169158
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,14,       0.173558
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,15,       0.168789
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,16,       0.168598
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,17,       0.174508
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,18,       0.170259
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,19,       0.170018
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,20,       0.170718
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,21,       0.170088
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,22,       0.170869
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,23,       0.170709
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,24,       0.168878
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,25,       0.169538
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,26,       0.168109
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,27,       0.170468
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,28,       0.176208
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,29,       0.170509
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,30,       0.169099
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,31,       0.173818
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,32,       0.170258
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,33,       0.171709
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,34,       0.174579
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,35,       0.170178
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,36,       0.169958
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,37,       0.170848
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,38,       0.168728
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,39,       0.169618
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,40,       0.170278
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,41,       0.171638
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,42,       0.169138
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,43,       0.170448
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,44,       0.171658
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,45,       0.175458
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,46,       0.170998
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,47,       0.170418
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,48,       0.175259
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,49,       0.169798
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,50,       0.170558
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,51,       0.169688
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,52,       0.170139
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,53,       0.169418
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,54,       0.169788
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,55,       0.170339
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,56,       0.169348
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,57,       0.170058
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,58,       0.169538
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,59,       0.175627
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,60,       0.169078
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,61,       0.169278
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,62,       0.174758
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,63,       0.170219
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,64,       0.168048
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,65,       0.173328
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,66,       0.171138
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,67,       0.169938
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,68,       0.170058
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,69,       0.169378
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,70,       0.169789
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,71,       0.170618
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,72,       0.169068
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,73,       0.169538
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,74,       0.169709
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,0,       0.472535
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,1,       0.474325
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,2,       0.475235
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,3,       0.478155
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,4,       0.479185
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,5,       0.469575
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,6,       0.473815
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,7,       0.472465
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,8,       0.470965
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,9,       0.474695
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,10,       0.476015
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,11,       0.476495
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,12,       0.476645
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,13,       0.471035
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,14,       0.473085
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,15,       0.471655
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,16,       0.471405
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,17,       0.472905
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,18,       0.478265
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,19,       0.476625
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,20,       0.477764
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,21,       0.478665
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,22,       0.469745
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,23,       0.472905
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,24,       0.471454
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,25,       0.472545
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,26,       0.473765
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,27,       0.475606
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,28,       0.477525
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,29,       0.476055
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,30,       0.472195
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,31,       0.472184
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,32,       0.473425
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,33,       0.470075
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,34,       0.476875
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,35,       0.475625
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,36,       0.476105
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,37,       0.477065
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,38,       0.476735
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,39,       0.471945
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,40,       0.473265
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,41,       0.471775
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,42,       0.469375
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,43,       0.477065
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,44,       0.474105
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,45,       0.474395
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,46,       0.477265
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,47,       0.469485
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,48,       0.469425
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,49,       0.472595
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,50,       0.474465
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,51,       0.476675
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,52,       0.475135
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,53,       0.477435
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,54,       0.477615
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,55,       0.469865
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,56,       0.472075
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,57,       0.473195
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,58,       0.470905
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,59,       0.477855
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,60,       0.476884
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,61,       0.476875
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,62,       0.477045
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,63,       0.472864
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,64,       0.473235
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,65,       0.470705
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,66,       0.472285
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,67,       0.486204
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,68,       0.478115
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,69,       0.474215
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,70,       0.473906
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,71,       0.471995
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,72,       0.471595
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,73,       0.471595
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,74,       0.471045
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,0,       0.847641
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,1,       0.838071
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,2,       0.835491
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,3,       0.835091
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,4,       0.832581
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,5,       0.835431
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,6,       0.833041
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,7,       0.843591
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,8,       0.839641
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,9,       0.829551
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,10,       0.838521
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,11,       0.838342
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,12,       0.840701
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,13,       0.837291
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,14,       0.838332
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,15,       0.835311
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,16,       0.839992
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,17,       0.843771
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,18,       0.831771
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,19,       0.837661
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,20,       0.828131
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,21,       0.838341
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,22,       0.839341
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,23,       0.841911
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,24,       0.844521
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,25,       0.838391
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,26,       0.837761
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,27,       0.838921
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,28,       0.837321
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,29,       0.834041
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,30,       0.835091
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,31,       0.834742
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,32,       0.835571
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,33,       0.837141
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,34,       0.837811
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,35,       0.835081
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,36,       0.837602
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,37,       0.830701
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,38,       0.832151
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,39,       0.835141
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,40,       0.834621
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,41,       0.832461
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,42,       0.840651
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,43,       0.838481
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,44,       0.836621
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,45,       0.835661
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,46,       0.837191
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,47,       0.831042
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,48,       0.839501
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,49,       0.839401
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,50,       0.834722
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,51,       0.835951
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,52,       0.832901
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,53,       0.837271
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,54,       0.837771
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,55,       0.836101
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,56,       0.837621
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,57,       0.838012
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,58,       0.841401
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,59,       0.839261
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,60,       0.838811
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,61,       0.835431
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,62,       0.840651
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,63,       0.836992
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,64,       0.840481
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,65,       0.836621
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,66,       0.836541
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,67,       0.829851
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,68,       0.840501
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,69,       0.839931
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,70,       0.840282
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,71,       0.838441
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,72,       0.845511
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,73,       0.837712
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,74,       0.830751
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,0,       1.356495
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,1,       1.351796
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,2,       1.353545
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,3,       1.350536
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,4,       1.347706
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,5,       1.352475
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,6,       1.356636
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,7,       1.351916
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,8,       1.354396
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,9,       1.354536
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,10,       1.357675
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,11,       1.361546
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,12,       1.348155
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,13,       1.355975
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,14,       1.354156
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,15,       1.344596
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,16,       1.350445
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,17,       1.357356
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,18,       1.352035
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,19,       1.354746
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,20,       1.357786
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,21,       1.352275
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,22,       1.351266
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,23,       1.355065
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,24,       1.345985
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,25,       1.359906
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,26,       1.347606
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,27,       1.347246
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,28,       1.349566
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,29,       1.348456
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,30,       1.349695
