dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,0,       1.434183
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,1,       0.409495
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,2,       0.429445
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,3,       0.420645
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,4,       0.413035
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,5,       0.401265
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,6,       0.418435
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,7,       0.408815
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,8,       0.404406
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,9,       0.415875
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,10,       0.422395
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,11,       0.419005
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,12,       0.413855
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,13,       0.399026
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,14,       0.390366
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,15,       0.376326
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,16,       0.382046
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,17,       0.369426
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,18,       0.376246
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,19,       0.372925
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,20,       0.384026
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,21,       0.378035
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,22,       0.364805
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,23,       0.369035
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,24,       0.389375
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,25,       0.378065
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,26,       0.373575
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,27,       0.367025
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,28,       0.377285
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,29,       0.382766
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,30,       0.383426
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,31,       0.406176
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,32,       0.378896
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,33,       0.398875
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,34,       0.405515
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,35,       0.408875
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,36,       0.400425
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,37,       0.385805
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,38,       0.382315
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,39,       0.388336
