dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"P | P",128,17,       0.000880
1,double,uniform,PoisFFT,"P | P",128,18,       0.000880
1,double,uniform,PoisFFT,"P | P",128,19,       0.000870
1,double,uniform,PoisFFT,"P | P",128,20,       0.000870
1,double,uniform,PoisFFT,"P | P",128,21,       0.000880
1,double,uniform,PoisFFT,"P | P",128,22,       0.000870
1,double,uniform,PoisFFT,"P | P",128,23,       0.000880
1,double,uniform,PoisFFT,"P | P",128,24,       0.000900
1,double,uniform,PoisFFT,"P | P",128,25,       0.000870
1,double,uniform,PoisFFT,"P | P",128,26,       0.000860
1,double,uniform,PoisFFT,"P | P",128,27,       0.000850
1,double,uniform,PoisFFT,"P | P",128,28,       0.000870
1,double,uniform,PoisFFT,"P | P",128,29,       0.000870
1,double,uniform,PoisFFT,"P | P",128,30,       0.000870
1,double,uniform,PoisFFT,"P | P",128,31,       0.000860
1,double,uniform,PoisFFT,"P | P",128,32,       0.000880
1,double,uniform,PoisFFT,"P | P",128,33,       0.000890
1,double,uniform,PoisFFT,"P | P",128,34,       0.000870
1,double,uniform,PoisFFT,"P | P",128,35,       0.000879
1,double,uniform,PoisFFT,"P | P",128,36,       0.000880
1,double,uniform,PoisFFT,"P | P",128,37,       0.000880
1,double,uniform,PoisFFT,"P | P",128,38,       0.000869
1,double,uniform,PoisFFT,"P | P",128,39,       0.000870
1,double,uniform,PoisFFT,"P | P",128,40,       0.000890
1,double,uniform,PoisFFT,"P | P",128,41,       0.000870
1,double,uniform,PoisFFT,"P | P",128,42,       0.000880
1,double,uniform,PoisFFT,"P | P",128,43,       0.000880
1,double,uniform,PoisFFT,"P | P",128,44,       0.000880
1,double,uniform,PoisFFT,"P | P",128,45,       0.000880
1,double,uniform,PoisFFT,"P | P",128,46,       0.000860
1,double,uniform,PoisFFT,"P | P",128,47,       0.000850
1,double,uniform,PoisFFT,"P | P",128,48,       0.000880
1,double,uniform,PoisFFT,"P | P",128,49,       0.000870
1,double,uniform,PoisFFT,"P | P",128,50,       0.000860
1,double,uniform,PoisFFT,"P | P",128,51,       0.000870
1,double,uniform,PoisFFT,"P | P",128,52,       0.000860
1,double,uniform,PoisFFT,"P | P",128,53,       0.000870
1,double,uniform,PoisFFT,"P | P",128,54,       0.000860
1,double,uniform,PoisFFT,"P | P",128,55,       0.000860
1,double,uniform,PoisFFT,"P | P",128,56,       0.000890
1,double,uniform,PoisFFT,"P | P",128,57,       0.000870
1,double,uniform,PoisFFT,"P | P",128,58,       0.000880
1,double,uniform,PoisFFT,"P | P",128,59,       0.000869
1,double,uniform,PoisFFT,"P | P",128,60,       0.000891
1,double,uniform,PoisFFT,"P | P",128,61,       0.000850
1,double,uniform,PoisFFT,"P | P",128,62,       0.000890
1,double,uniform,PoisFFT,"P | P",128,63,       0.000860
1,double,uniform,PoisFFT,"P | P",128,64,       0.000860
1,double,uniform,PoisFFT,"P | P",128,65,       0.000870
1,double,uniform,PoisFFT,"P | P",128,66,       0.000850
1,double,uniform,PoisFFT,"P | P",128,67,       0.000860
1,double,uniform,PoisFFT,"P | P",128,68,       0.000910
1,double,uniform,PoisFFT,"P | P",128,69,       0.000890
1,double,uniform,PoisFFT,"P | P",128,70,       0.000880
1,double,uniform,PoisFFT,"P | P",128,71,       0.000870
1,double,uniform,PoisFFT,"P | P",128,72,       0.000880
1,double,uniform,PoisFFT,"P | P",128,73,       0.001050
1,double,uniform,PoisFFT,"P | P",128,74,       0.000890
1,double,uniform,PoisFFT,"P | P",192,0,       0.003049
1,double,uniform,PoisFFT,"P | P",192,1,       0.001300
1,double,uniform,PoisFFT,"P | P",192,2,       0.001190
1,double,uniform,PoisFFT,"P | P",192,3,       0.001150
1,double,uniform,PoisFFT,"P | P",192,4,       0.001190
1,double,uniform,PoisFFT,"P | P",192,5,       0.001190
1,double,uniform,PoisFFT,"P | P",192,6,       0.001230
1,double,uniform,PoisFFT,"P | P",192,7,       0.001170
1,double,uniform,PoisFFT,"P | P",192,8,       0.001190
1,double,uniform,PoisFFT,"P | P",192,9,       0.001150
1,double,uniform,PoisFFT,"P | P",192,10,       0.001160
1,double,uniform,PoisFFT,"P | P",192,11,       0.001220
1,double,uniform,PoisFFT,"P | P",192,12,       0.001190
1,double,uniform,PoisFFT,"P | P",192,13,       0.001200
1,double,uniform,PoisFFT,"P | P",192,14,       0.001209
1,double,uniform,PoisFFT,"P | P",192,15,       0.001191
1,double,uniform,PoisFFT,"P | P",192,16,       0.001209
1,double,uniform,PoisFFT,"P | P",192,17,       0.001140
1,double,uniform,PoisFFT,"P | P",192,18,       0.001200
1,double,uniform,PoisFFT,"P | P",192,19,       0.001220
1,double,uniform,PoisFFT,"P | P",192,20,       0.001210
1,double,uniform,PoisFFT,"P | P",192,21,       0.001170
1,double,uniform,PoisFFT,"P | P",192,22,       0.001170
1,double,uniform,PoisFFT,"P | P",192,23,       0.001150
1,double,uniform,PoisFFT,"P | P",192,24,       0.001190
1,double,uniform,PoisFFT,"P | P",192,25,       0.001190
1,double,uniform,PoisFFT,"P | P",192,26,       0.001200
1,double,uniform,PoisFFT,"P | P",192,27,       0.001200
1,double,uniform,PoisFFT,"P | P",192,28,       0.001210
1,double,uniform,PoisFFT,"P | P",192,29,       0.001190
1,double,uniform,PoisFFT,"P | P",192,30,       0.001180
1,double,uniform,PoisFFT,"P | P",192,31,       0.001200
1,double,uniform,PoisFFT,"P | P",192,32,       0.001140
1,double,uniform,PoisFFT,"P | P",192,33,       0.001240
1,double,uniform,PoisFFT,"P | P",192,34,       0.001160
1,double,uniform,PoisFFT,"P | P",192,35,       0.001230
1,double,uniform,PoisFFT,"P | P",192,36,       0.001190
1,double,uniform,PoisFFT,"P | P",192,37,       0.001170
1,double,uniform,PoisFFT,"P | P",192,38,       0.001190
1,double,uniform,PoisFFT,"P | P",192,39,       0.001170
1,double,uniform,PoisFFT,"P | P",192,40,       0.001240
1,double,uniform,PoisFFT,"P | P",192,41,       0.001200
1,double,uniform,PoisFFT,"P | P",192,42,       0.001150
1,double,uniform,PoisFFT,"P | P",192,43,       0.001170
1,double,uniform,PoisFFT,"P | P",192,44,       0.001190
1,double,uniform,PoisFFT,"P | P",192,45,       0.001160
1,double,uniform,PoisFFT,"P | P",192,46,       0.001200
1,double,uniform,PoisFFT,"P | P",192,47,       0.001160
1,double,uniform,PoisFFT,"P | P",192,48,       0.001200
1,double,uniform,PoisFFT,"P | P",192,49,       0.001180
1,double,uniform,PoisFFT,"P | P",192,50,       0.001200
1,double,uniform,PoisFFT,"P | P",192,51,       0.001231
1,double,uniform,PoisFFT,"P | P",192,52,       0.001290
1,double,uniform,PoisFFT,"P | P",192,53,       0.001220
1,double,uniform,PoisFFT,"P | P",192,54,       0.001210
1,double,uniform,PoisFFT,"P | P",192,55,       0.001250
1,double,uniform,PoisFFT,"P | P",192,56,       0.001230
1,double,uniform,PoisFFT,"P | P",192,57,       0.001210
1,double,uniform,PoisFFT,"P | P",192,58,       0.001170
1,double,uniform,PoisFFT,"P | P",192,59,       0.001170
1,double,uniform,PoisFFT,"P | P",192,60,       0.001150
1,double,uniform,PoisFFT,"P | P",192,61,       0.001160
1,double,uniform,PoisFFT,"P | P",192,62,       0.001140
1,double,uniform,PoisFFT,"P | P",192,63,       0.001210
1,double,uniform,PoisFFT,"P | P",192,64,       0.001190
1,double,uniform,PoisFFT,"P | P",192,65,       0.001230
1,double,uniform,PoisFFT,"P | P",192,66,       0.001170
1,double,uniform,PoisFFT,"P | P",192,67,       0.001151
1,double,uniform,PoisFFT,"P | P",192,68,       0.001249
1,double,uniform,PoisFFT,"P | P",192,69,       0.001171
1,double,uniform,PoisFFT,"P | P",192,70,       0.001219
1,double,uniform,PoisFFT,"P | P",192,71,       0.001170
1,double,uniform,PoisFFT,"P | P",192,72,       0.001349
1,double,uniform,PoisFFT,"P | P",192,73,       0.001229
1,double,uniform,PoisFFT,"P | P",192,74,       0.001180
1,double,uniform,PoisFFT,"P | P",256,0,       0.003590
1,double,uniform,PoisFFT,"P | P",256,1,       0.001680
1,double,uniform,PoisFFT,"P | P",256,2,       0.001530
1,double,uniform,PoisFFT,"P | P",256,3,       0.001520
1,double,uniform,PoisFFT,"P | P",256,4,       0.001530
1,double,uniform,PoisFFT,"P | P",256,5,       0.001480
1,double,uniform,PoisFFT,"P | P",256,6,       0.001480
1,double,uniform,PoisFFT,"P | P",256,7,       0.001500
1,double,uniform,PoisFFT,"P | P",256,8,       0.001490
1,double,uniform,PoisFFT,"P | P",256,9,       0.001480
1,double,uniform,PoisFFT,"P | P",256,10,       0.001480
1,double,uniform,PoisFFT,"P | P",256,11,       0.001511
1,double,uniform,PoisFFT,"P | P",256,12,       0.001500
1,double,uniform,PoisFFT,"P | P",256,13,       0.001460
1,double,uniform,PoisFFT,"P | P",256,14,       0.001470
1,double,uniform,PoisFFT,"P | P",256,15,       0.001490
1,double,uniform,PoisFFT,"P | P",256,16,       0.001490
1,double,uniform,PoisFFT,"P | P",256,17,       0.001480
1,double,uniform,PoisFFT,"P | P",256,18,       0.001520
1,double,uniform,PoisFFT,"P | P",256,19,       0.001500
1,double,uniform,PoisFFT,"P | P",256,20,       0.001490
1,double,uniform,PoisFFT,"P | P",256,21,       0.001510
1,double,uniform,PoisFFT,"P | P",256,22,       0.001500
1,double,uniform,PoisFFT,"P | P",256,23,       0.001470
1,double,uniform,PoisFFT,"P | P",256,24,       0.001480
1,double,uniform,PoisFFT,"P | P",256,25,       0.001500
1,double,uniform,PoisFFT,"P | P",256,26,       0.001489
1,double,uniform,PoisFFT,"P | P",256,27,       0.001509
1,double,uniform,PoisFFT,"P | P",256,28,       0.001480
1,double,uniform,PoisFFT,"P | P",256,29,       0.001480
1,double,uniform,PoisFFT,"P | P",256,30,       0.001490
1,double,uniform,PoisFFT,"P | P",256,31,       0.001490
1,double,uniform,PoisFFT,"P | P",256,32,       0.001490
1,double,uniform,PoisFFT,"P | P",256,33,       0.001490
1,double,uniform,PoisFFT,"P | P",256,34,       0.001500
1,double,uniform,PoisFFT,"P | P",256,35,       0.001470
1,double,uniform,PoisFFT,"P | P",256,36,       0.001500
1,double,uniform,PoisFFT,"P | P",256,37,       0.001490
1,double,uniform,PoisFFT,"P | P",256,38,       0.001490
1,double,uniform,PoisFFT,"P | P",256,39,       0.001470
1,double,uniform,PoisFFT,"P | P",256,40,       0.001489
1,double,uniform,PoisFFT,"P | P",256,41,       0.001511
1,double,uniform,PoisFFT,"P | P",256,42,       0.001511
1,double,uniform,PoisFFT,"P | P",256,43,       0.001470
1,double,uniform,PoisFFT,"P | P",256,44,       0.001510
1,double,uniform,PoisFFT,"P | P",256,45,       0.001500
1,double,uniform,PoisFFT,"P | P",256,46,       0.001480
1,double,uniform,PoisFFT,"P | P",256,47,       0.001480
1,double,uniform,PoisFFT,"P | P",256,48,       0.001880
1,double,uniform,PoisFFT,"P | P",256,49,       0.001480
1,double,uniform,PoisFFT,"P | P",256,50,       0.001460
1,double,uniform,PoisFFT,"P | P",256,51,       0.001510
1,double,uniform,PoisFFT,"P | P",256,52,       0.001490
1,double,uniform,PoisFFT,"P | P",256,53,       0.001530
1,double,uniform,PoisFFT,"P | P",256,54,       0.001440
1,double,uniform,PoisFFT,"P | P",256,55,       0.001509
1,double,uniform,PoisFFT,"P | P",256,56,       0.001480
1,double,uniform,PoisFFT,"P | P",256,57,       0.001450
1,double,uniform,PoisFFT,"P | P",256,58,       0.001450
1,double,uniform,PoisFFT,"P | P",256,59,       0.001490
1,double,uniform,PoisFFT,"P | P",256,60,       0.001450
1,double,uniform,PoisFFT,"P | P",256,61,       0.001500
1,double,uniform,PoisFFT,"P | P",256,62,       0.001470
1,double,uniform,PoisFFT,"P | P",256,63,       0.001480
1,double,uniform,PoisFFT,"P | P",256,64,       0.001480
1,double,uniform,PoisFFT,"P | P",256,65,       0.001460
1,double,uniform,PoisFFT,"P | P",256,66,       0.001470
1,double,uniform,PoisFFT,"P | P",256,67,       0.001480
1,double,uniform,PoisFFT,"P | P",256,68,       0.001490
1,double,uniform,PoisFFT,"P | P",256,69,       0.001480
1,double,uniform,PoisFFT,"P | P",256,70,       0.001480
1,double,uniform,PoisFFT,"P | P",256,71,       0.001830
1,double,uniform,PoisFFT,"P | P",256,72,       0.001480
1,double,uniform,PoisFFT,"P | P",256,73,       0.001489
1,double,uniform,PoisFFT,"P | P",256,74,       0.001500
1,double,uniform,PoisFFT,"P | P",320,0,       0.004400
1,double,uniform,PoisFFT,"P | P",320,1,       0.001890
1,double,uniform,PoisFFT,"P | P",320,2,       0.001811
1,double,uniform,PoisFFT,"P | P",320,3,       0.001780
1,double,uniform,PoisFFT,"P | P",320,4,       0.001830
1,double,uniform,PoisFFT,"P | P",320,5,       0.001830
1,double,uniform,PoisFFT,"P | P",320,6,       0.001780
1,double,uniform,PoisFFT,"P | P",320,7,       0.001820
1,double,uniform,PoisFFT,"P | P",320,8,       0.001790
1,double,uniform,PoisFFT,"P | P",320,9,       0.001800
1,double,uniform,PoisFFT,"P | P",320,10,       0.001810
1,double,uniform,PoisFFT,"P | P",320,11,       0.001800
1,double,uniform,PoisFFT,"P | P",320,12,       0.001790
