dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,       2.524085
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,       1.301267
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,       1.220898
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,       1.250448
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,       1.094439
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,       1.302457
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,       1.096399
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,       1.356137
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,       1.090599
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,       1.292967
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       1.466646
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       1.197738
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       1.314577
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.984641
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.970670
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       1.192048
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.976611
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       1.229287
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       1.278408
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       1.145829
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,20,       1.206818
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,21,       1.142579
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,22,       1.070870
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,23,       1.233188
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,24,       1.301427
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,25,       1.034850
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,26,       1.218478
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,27,       1.120049
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,28,       1.317937
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,29,       1.302758
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,30,       0.967111
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,31,       1.312617
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,32,       1.101659
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,33,       0.866981
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,34,       0.833062
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,35,       1.215078
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,36,       0.923701
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,37,       0.717873
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,38,       1.244367
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,39,       1.107619
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,40,       1.030550
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,41,       1.263678
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,42,       0.843442
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,43,       1.139999
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,44,       1.422456
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,45,       1.153079
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,46,       1.091369
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,47,       1.018910
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,48,       1.129049
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,49,       1.205289
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,50,       1.049640
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,51,       1.188098
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,52,       1.156539
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,53,       1.256017
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,54,       1.452046
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,55,       1.213239
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,56,       2.227088
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,57,       1.123159
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,58,       1.112280
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,59,       1.349817
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,60,       1.272348
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,61,       1.501435
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,62,       1.417086
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,63,       1.259048
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,64,       1.222718
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,65,       1.478615
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,66,       1.061039
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,67,       1.183758
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,68,       1.421206
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,69,       1.165818
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,70,       1.186578
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,71,       1.173059
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,72,       0.802402
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,73,       1.253738
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,74,       1.220468
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,0,       3.424686
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,1,       3.415636
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,2,       3.157769
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,3,       3.334247
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,4,       3.402517
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,5,       3.319007
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,6,       2.776172
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,7,       2.822672
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,8,       3.044450
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,9,       2.798712
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,10,       2.697263
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,11,       2.809753
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,12,       2.895271
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,13,       2.983250
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,14,       2.856982
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,15,       3.108140
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,16,       3.149069
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,17,       2.874922
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,18,       3.009630
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,19,       3.146919
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,20,       3.057240
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,21,       2.867601
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,22,       3.351447
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,23,       4.048720
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,24,       2.914871
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,25,       3.049720
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,26,       2.896552
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,27,       3.531835
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,28,       3.183659
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,29,       2.974921
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,30,       2.929541
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,31,       2.871512
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,32,       2.966991
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,33,       3.364867
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,34,       3.822292
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,35,       2.820572
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,36,       3.125759
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,37,       2.778693
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,38,       3.027160
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,39,       3.077690
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,40,       2.829192
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,41,       2.998570
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,42,       2.916601
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,43,       2.758443
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,44,       3.097040
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,45,       3.352987
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,46,       3.585335
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,47,       4.312018
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,48,       2.903282
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,49,       2.936631
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,50,       6.678704
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,51,       2.938971
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,52,       2.879581
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,53,       3.055120
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,54,       3.240179
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,55,       3.076370
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,56,       3.552236
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,57,       2.866771
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,58,       3.198019
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,59,       3.395296
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,60,       2.912841
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,61,       3.044040
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,62,       2.862372
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,63,       3.105340
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,64,       2.981850
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,65,       3.041480
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,66,       2.960621
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,67,       2.952421
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,68,       2.977891
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,69,       2.924631
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,70,       3.348607
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,71,       3.628414
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,72,       2.741933
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,73,       2.952281
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,74,       2.903221
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,0,       9.355887
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,1,       8.787124
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,2,       9.032911
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,3,       8.658815
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,4,       8.489976
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,5,       8.579725
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,6,       9.428336
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,7,       8.952292
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,8,       8.387567
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,9,       8.936882
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,10,       8.469166
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,11,       8.864752
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,12,       9.136730
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,13,       8.981272
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,14,       8.935241
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,15,       8.473046
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,16,       9.076080
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,17,       9.175229
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,18,       8.920232
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,19,       9.138769
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,20,       8.994751
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,21,       9.347888
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,22,       9.127270
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,23,       8.625595
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,24,       9.153050
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,25,       9.022221
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,26,       9.047220
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,27,       8.932112
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,28,       9.093461
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,29,       8.871973
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,30,       9.231539
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,31,       9.132760
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,32,       9.323148
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,33,       9.214150
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,34,       8.797933
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,35,       8.815013
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,36,       8.700814
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,37,       8.743423
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,38,       8.629765
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,39,       8.807903
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,40,      10.075750
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,41,       9.000261
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,42,       9.152980
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,43,       8.731824
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,44,       9.046421
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,45,       9.272808
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,46,       8.838563
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,47,       9.260078
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,48,       8.771213
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,49,       9.051881
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,50,       8.846392
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,51,       8.939812
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,52,       8.797743
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,53,       9.434946
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,54,       8.963901
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,55,       9.062420
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,56,       8.978212
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,57,       8.869073
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,58,       8.870183
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,59,       8.913192
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,60,       9.041091
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,61,       8.937102
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,62,       9.114910
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,63,       9.065780
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,64,       9.118570
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,65,       8.793003
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,66,       8.608245
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,67,       9.172509
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,68,       8.810303
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,69,       9.126490
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,70,       8.809823
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,71,       9.111910
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,72,       8.791473
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,73,       8.673764
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,74,       8.671965
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,0,      24.296381
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,1,      23.560418
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,2,      24.219011
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,3,      23.614777
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,4,      23.524408
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,5,      23.400779
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,6,      22.923863
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,7,      23.840855
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,8,      23.832434
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,9,      23.138842
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,10,      23.729005
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,11,      23.214581
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,12,      22.583667
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,13,      23.201151
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,14,      23.463519
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,15,      23.700816
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,16,      23.034812
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,17,      23.684456
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,18,      23.191351
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,19,      23.548568
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,20,      23.442098
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,21,      23.547577
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,22,      23.938144
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,23,      23.228061
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,24,      24.039183
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,25,      24.328280
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,26,      23.724866
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,27,      23.389379
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,28,      23.050202
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,29,      23.821985
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,30,      23.731596
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,31,      23.420179
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,32,      23.397709
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,33,      23.837874
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,34,      23.770535
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,35,      23.277870
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,36,      23.938363
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,37,      24.088132
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,38,      24.137032
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,39,      23.691846
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,40,      23.796845
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,41,      23.633217
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,42,      24.162222
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,43,      22.748716
