dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,       1.628712
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,       0.321266
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,       0.322306
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,       0.337337
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,       0.313306
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.311957
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.316037
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.313367
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.322487
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.319946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.312907
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.326126
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.318697
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.320137
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.316667
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.319986
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.314227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.339566
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.312646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,       0.314997
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,20,       0.317597
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,21,       0.316277
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,22,       0.311827
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,23,       0.310907
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,24,       0.316247
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,25,       0.308616
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,26,       0.307276
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,27,       0.308047
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,28,       0.307517
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,29,       0.304946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,30,       0.310237
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,31,       0.304727
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,32,       0.310517
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,33,       0.302487
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,34,       0.308936
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,35,       0.315557
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,36,       0.306577
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,37,       0.309237
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,38,       0.305217
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,39,       0.311417
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,40,       0.305807
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,41,       0.301797
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,42,       0.305607
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,43,       0.307677
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,44,       0.307547
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,45,       0.303236
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,46,       0.299467
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,47,       0.310047
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,48,       0.307607
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,49,       0.305687
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,50,       0.306686
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,51,       0.305097
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,52,       0.306886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,53,       0.366556
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,54,       0.322497
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,55,       0.321826
