dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,72,       0.510366
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,73,       0.515525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,74,       4.526917
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,0,       6.156741
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,1,       5.718525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,2,       5.652736
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,3,       5.664495
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,4,       5.672786
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,5,       5.659846
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,6,       5.648765
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,7,       5.632846
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,8,       5.662526
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,9,       5.619897
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,10,       5.622386
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,11,       5.604776
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,12,       5.624076
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,13,       5.660566
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,14,       5.600667
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,15,       5.679235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,16,       5.593656
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,17,       5.638756
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,18,       5.606066
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,19,       5.649895
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,20,       5.554717
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,21,       5.605286
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,22,       5.578736
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,23,       5.666266
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,24,       5.633416
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,25,       5.646715
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,26,       5.618095
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,27,       5.621246
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,28,       5.604747
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,29,       5.664196
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,30,       5.592627
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,31,       5.595826
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,32,       5.611096
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,33,       5.633655
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,34,       5.612077
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,35,       5.649916
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,36,       5.582566
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,37,       5.640956
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,38,       5.605096
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,39,       5.665805
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,40,       5.816544
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,41,       5.596586
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,42,       5.600526
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,43,       5.704715
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,44,       5.669476
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,45,       5.632776
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,46,       5.625106
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,47,       5.616026
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,48,       5.611457
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,49,       5.670786
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,50,       5.566266
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,51,       5.673515
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,52,       5.606796
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,53,       5.661815
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,54,       5.627856
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,55,       5.779794
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,56,       5.569667
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,57,       5.583756
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,58,       5.640676
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,59,       5.641435
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,60,       5.603226
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,61,       5.584796
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,62,       5.585626
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,63,       5.597686
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,64,       5.657466
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,65,       5.641496
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,66,       5.595157
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,67,       5.593107
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,68,       5.605036
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,69,       5.667636
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,70,       5.620206
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,71,       5.627916
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,72,       5.628626
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,73,       5.667316
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,74,       5.638566
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,0,      27.196719
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,1,      27.046890
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,2,      26.934862
3,float,uniform,PoisFFT,"D | D | D | D | D | D",192,3,      26.942662
