dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,       1.348646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,       0.309637
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,       0.319806
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,       0.321017
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.318847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.313756
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.313987
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.311257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.315676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.334217
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.316456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.308477
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.311597
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.309116
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.309867
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.308757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.316527
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.313287
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.318547
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.306007
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,       0.295847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,       0.296137
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,22,       0.314167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,23,       0.296577
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,24,       0.299387
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,25,       0.299007
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,26,       0.297727
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,27,       0.303897
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,28,       0.297567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,       0.303207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,30,       0.295027
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,31,       0.420916
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,32,       0.290597
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,33,       0.293457
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,34,       0.288337
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,35,       0.291897
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,36,       0.288837
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,37,       0.299097
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,38,       0.296827
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,39,       0.286217
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,40,       0.306317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,41,       0.286287
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,42,       0.295397
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,43,       0.292727
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,44,       0.296757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,45,       0.296587
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,46,       0.292117
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,47,       0.294707
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,48,       0.287346
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,49,       0.296957
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,50,       0.286057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,51,       0.287447
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,52,       0.293157
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,53,       0.342647
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,54,       0.319767
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,55,       0.316247
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,56,       0.303947
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,57,       0.314977
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,58,       0.311727
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,59,       0.307317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,60,       0.297807
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,61,       0.304997
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,62,       0.299417
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,63,       0.318516
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,64,       0.306757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,65,       0.307057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,66,       0.310887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,67,       0.318227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,68,       0.304008
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,69,       0.299637
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,70,       0.307216
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,71,       0.311167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,72,       0.315716
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,73,       0.312227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,74,       0.307847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,       3.792452
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,       3.785462
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,       3.684623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,       3.628223
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,       3.654953
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,       3.620124
