dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.902290
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.294197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.301307
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.307126
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.318977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.307336
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.304036
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.305107
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.306067
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.306937
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.313376
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.300587
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.305427
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.293457
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.301656
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.294527
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.302247
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.300017
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.293767
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.293277
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.292347
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.295277
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.298477
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.303177
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.296386
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.287677
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.288677
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.289507
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.292287
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.297797
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.286117
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.296847
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.290317
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.287027
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.299227
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.298397
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.291408
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.293937
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,38,       0.289447
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,39,       0.291308
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,40,       0.289797
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,41,       0.292037
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,42,       0.295206
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.292147
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.290497
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.289106
