dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,       2.274945
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,       0.206057
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,       0.221017
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,       0.214358
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,       0.214378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,       0.213327
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,       0.213208
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,       0.214928
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,       0.210168
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,       0.217077
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.212568
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.208318
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.213898
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.211678
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.209168
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.213248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.214468
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.219258
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.219247
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.211808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,20,       0.225297
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,21,       0.211108
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,22,       0.212798
