dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,       1.406485
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,       0.229227
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,       0.232687
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,       0.231868
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,       0.228908
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,       0.232547
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,       0.233008
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,       0.235127
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,       0.241017
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,       0.236777
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,       0.234577
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,       0.233608
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,       0.229438
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,       0.229447
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,       0.232398
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,       0.230927
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,       0.230467
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,       0.234978
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,       0.229737
