dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,72,       0.453415
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,73,       0.453995
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,74,       0.460886
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,0,       7.110564
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,1,       6.015636
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,2,       5.984406
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,3,       6.524170
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,4,       6.042645
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,5,       6.905026
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,6,       6.020266
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,7,       5.938446
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,8,       5.775409
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,9,       5.946976
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,10,       6.691109
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,11,       6.431362
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,12,       6.544270
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,13,       5.945376
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,14,       5.975096
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,15,       5.855287
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,16,       5.914817
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,17,       5.958286
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,18,       6.086525
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,19,       5.928986
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,20,       6.615569
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,21,       5.898957
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,22,       6.782137
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,23,       5.993646
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,24,       6.233033
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,25,       5.915586
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,26,       5.959046
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,27,       6.574059
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,28,       5.965466
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,29,       6.671099
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,30,       6.009196
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,31,       6.567000
3,double,uniform,PoisFFT,"D | D | D | D | N | D",128,32,       6.015016
