dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.840080
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.297207
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.298077
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.313386
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.298677
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.298697
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.298677
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.299046
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.306617
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.301527
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.294446
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.297787
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.293577
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.294937
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.294357
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.298737
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.295287
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.298547
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.295427
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.302087
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,20,       0.294587
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,21,       0.294137
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,22,       0.291767
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,23,       0.294117
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,24,       0.291667
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,25,       0.292926
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,26,       0.291757
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,27,       0.287437
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,28,       0.290207
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,29,       0.295427
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,30,       0.296067
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,31,       0.290437
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,32,       0.292117
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,33,       0.290297
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,34,       0.293347
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,35,       0.301757
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,36,       0.290557
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,37,       0.292617
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,38,       0.293837
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,39,       0.296217
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,40,       0.297286
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,41,       0.299227
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,42,       0.300827
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,43,       0.297997
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,44,       0.293736
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,45,       0.294377
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,46,       0.292677
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,47,       0.295577
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,48,       0.296627
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,49,       0.294967
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,50,       0.300497
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,51,       0.293977
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,52,       0.293837
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,53,       0.295187
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,54,       0.288937
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,55,       0.291937
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,56,       0.293667
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,57,       0.299087
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,58,       0.301497
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,59,       0.295067
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,60,       0.294407
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,61,       0.294197
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,62,       0.291787
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,63,       0.297827
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,64,       0.295497
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,65,       0.291317
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,66,       0.294907
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,67,       0.291697
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,68,       0.291937
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,69,       0.294327
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,70,       0.297577
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,71,       0.292137
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,72,       0.293137
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,73,       0.286767
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,74,       0.291447
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       4.032577
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,1,       3.371014
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       3.422304
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       3.458603
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       3.398755
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       3.427834
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       3.413993
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       3.350245
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       3.397264
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       3.430024
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       3.372034
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       3.422984
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       3.401484
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       3.393574
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       3.415604
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       3.377664
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       3.392534
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       3.426154
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       3.419673
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       3.455734
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,20,       3.422353
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,21,       3.435324
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,22,       3.460314
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,23,       3.410494
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,24,       3.362865
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,25,       3.368884
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,26,       3.404693
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,27,       3.411364
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,28,       3.426164
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,29,       3.445603
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,30,       3.427793
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,31,       3.395574
