dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,      22.913187
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,      16.145189
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,      18.711692
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,      18.739811
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,      10.452350
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       2.489053
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       2.649701
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       3.031588
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       2.063678
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       2.466934
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       2.616592
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       2.663442
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       2.630492
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       2.091308
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       2.628762
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       2.312875
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       2.478364
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       2.190537
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       3.051697
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       2.588253
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,20,       2.160117
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,21,       2.192677
