dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,       1.794453
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,1,       0.220218
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,2,       0.221077
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,3,       0.221197
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,4,       0.225278
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,5,       0.228597
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,6,       0.221408
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,7,       0.224798
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,8,       0.224378
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,9,       0.222958
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,10,       0.221428
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,11,       0.226758
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,12,       0.228287
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,13,       0.226287
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,14,       0.225648
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,15,       0.227788
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,16,       0.227737
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,17,       0.222858
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,18,       0.218668
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,19,       0.221098
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,20,       0.218868
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,21,       0.214858
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,22,       0.219108
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,23,       0.216988
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,24,       0.216718
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,25,       0.219728
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,26,       0.217078
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,27,       0.216208
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,28,       0.213878
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,29,       0.214698
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,30,       0.217628
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,31,       0.211178
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,32,       0.212458
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,33,       0.214598
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,34,       0.215998
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,35,       0.212408
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,36,       0.210768
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,37,       0.208708
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,38,       0.212668
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,39,       0.215268
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,40,       0.211418
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,41,       0.206728
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,42,       0.206148
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,43,       0.198898
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,44,       0.202658
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,45,       0.201467
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,46,       0.201888
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,47,       0.198858
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,48,       0.204458
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,49,       0.204968
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,50,       0.197448
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,51,       0.201998
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,52,       0.199387
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,53,       0.199608
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,54,       0.196788
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,55,       0.205617
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,56,       0.504286
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,57,       0.212098
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,58,       0.213228
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,59,       0.210968
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,60,       0.209668
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,61,       0.209348
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,62,       0.207398
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,63,       0.209188
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,64,       0.205488
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,65,       0.206818
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,66,       0.203138
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,67,       0.206158
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,68,       0.207348
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,69,       0.212678
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,70,       0.203568
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,71,       0.233307
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,72,       0.209388
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,73,       0.209248
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,74,       0.211568
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,0,       2.003280
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,1,       1.250838
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,2,       1.220748
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,3,       1.246058
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,4,       1.229388
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,5,       1.675453
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,6,       1.210378
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,7,       1.257708
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,8,       1.256608
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,9,       1.244908
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,10,       1.231528
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,11,       1.231338
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,12,       1.481026
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,13,       1.249228
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,14,       1.212798
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,15,       1.242758
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,16,       1.225977
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,17,       1.669384
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,18,       1.816643
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,19,       1.505055
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,20,       1.237228
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,21,       1.256558
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,22,       1.237087
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,23,       1.238907
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,24,       1.391037
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,25,       1.237358
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,26,       1.218808
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,27,       1.236288
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,28,       1.410646
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,29,       1.646484
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,30,       1.727743
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,31,       1.533105
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,32,       1.230208
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,33,       1.246948
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,34,       1.232338
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,35,       1.245927
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,36,       1.592614
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,37,       1.598074
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,38,       1.236188
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,39,       1.579205
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,40,       1.210218
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,41,       1.256088
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,42,       1.325217
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,43,       1.230998
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,44,       1.219788
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,45,       1.271227
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,46,       1.215518
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,47,       1.553225
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,48,       1.236638
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,49,       1.255228
