dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       2.176497
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       2.007078
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       1.544274
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       1.578973
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       1.800821
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       1.658822
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       1.544563
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       1.920759
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       1.624152
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       1.508294
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       1.818620
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       1.843680
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       1.449944
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       1.693032
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       1.628713
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       1.634703
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       1.481724
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       1.848451
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       1.516444
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       1.846090
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,20,       1.847150
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,21,       1.789601
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,22,       1.443444
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,23,       1.711402
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,24,       2.029798
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,25,       1.879379
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,26,       1.518084
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,27,       1.768021
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,28,       1.539494
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,29,       1.534574
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,30,       1.509174
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,31,       1.781771
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,32,       1.353815
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,33,       1.739572
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,34,       1.674332
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,35,       1.965139
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,36,       1.974859
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,37,       1.488164
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,38,       1.450834
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,39,       1.938419
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,40,       1.590372
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,41,       1.788290
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,42,       1.722291
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,43,       1.655262
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,44,       1.464264
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,45,       1.686191
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,46,       1.606673
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,47,       1.415665
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,48,       1.672812
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,49,       1.612953
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,50,       2.107397
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,51,       1.912349
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,52,       1.602152
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,53,       1.453774
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,54,       1.416965
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,55,       1.664291
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,56,       1.934529
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,57,       2.080038
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,58,       1.856360
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,59,       1.721772
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,60,       1.688712
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,61,       1.556863
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,62,       1.673862
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,63,       1.757841
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,64,       1.437295
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,65,       1.662632
3,double,uniform,PoisFFT,"N | D | N | N | N | N",64,66,       1.589583
