dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,       3.037437
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,       2.875830
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       2.657001
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       2.759210
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       2.364035
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       2.928018
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       3.118226
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       2.814540
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       2.460724
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       2.879119
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       2.538983
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       2.564352
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       2.270756
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       2.930968
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       2.647582
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       2.963758
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       2.360184
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       2.365055
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       2.788440
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       2.671931
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,       2.045998
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,       2.461913
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,       2.603132
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,       2.260225
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,       2.928339
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,       2.647452
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,       2.526702
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,       2.340405
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,       2.315975
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,29,       2.394544
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,30,       2.362634
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,31,       2.285066
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,32,       2.609492
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,33,       2.918249
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,34,       2.072288
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,35,       2.227336
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,36,       2.627942
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,37,       3.151656
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,38,       2.270965
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,39,       2.278235
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,40,       2.752851
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,41,       2.355895
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,42,       2.415874
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,43,       2.719151
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,44,       2.733400
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,45,       2.201026
