dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,0,0.038816,0.004181,0.104813,0.464896,0.759347,0.612706
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,1,0.024288,0.003826,0.083504,0.03072,0.285909,0.142338
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,2,0.028,0.003677,0.07229,0.03072,0.278322,0.134687
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,3,0.02704,0.003641,0.073221,0.028672,0.2843,0.132574
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,4,0.028384,0.003638,0.072728,0.029696,0.276774,0.134446
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,5,0.026304,0.003757,0.070392,0.028672,0.27343,0.129125
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,6,0.02784,0.003543,0.072138,0.028672,0.276922,0.132193
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,7,0.02736,0.003729,0.072532,0.028672,0.277285,0.132293
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,8,0.028128,0.00369,0.073185,0.03072,0.487927,0.135723
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,9,0.027296,0.003762,0.072538,0.028672,0.276497,0.132268
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,10,0.026016,0.00364,0.075116,0.026624,0.282068,0.131396
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,11,0.028448,0.003626,0.158646,0.028672,0.364583,0.219392
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,12,0.025568,0.003654,0.071571,0.028672,0.273898,0.129465
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,13,0.027712,0.003792,0.072721,0.028672,0.281528,0.132897
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,14,0.02608,0.00362,0.071592,0.027648,0.274129,0.12894
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,15,0.026176,0.003703,0.072076,0.028672,0.276417,0.130627
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,16,0.026368,0.003634,0.076555,0.028672,0.278979,0.135229
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,17,0.027136,0.003673,0.072546,0.028672,0.274332,0.132027
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,18,0.027168,0.003662,0.071392,0.028672,0.274527,0.130894
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",64,19,0.026688,0.003702,0.072913,0.027648,0.375936,0.130951
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,0,0.103456,0.004004,0.530993,0.249856,1.04122,0.888309
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,1,0.10688,0.004023,0.497855,0.242688,0.996629,0.851446
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,2,0.107456,0.004285,0.498353,0.239616,0.997048,0.84971
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,3,0.107008,0.004085,0.497726,0.24064,0.99578,0.849459
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,4,0.10464,0.004206,0.499182,0.239616,0.994477,0.847644
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,5,0.10208,0.003885,0.496996,0.241664,0.990698,0.844625
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,6,0.107808,0.003808,0.496289,0.243712,0.996826,0.851617
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,7,0.111648,0.003805,0.499837,0.239616,1.00096,0.854906
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,8,0.110016,0.004021,0.586647,0.239616,1.08588,0.9403
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,9,0.104064,0.003928,0.496227,0.24064,0.982945,0.844859
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,10,0.101696,0.004086,0.499648,0.241664,0.993412,0.847094
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,11,0.10208,0.004035,0.508167,0.241664,1.00138,0.855946
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,12,0.108192,0.004255,0.499482,0.24064,0.999927,0.852569
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,13,0.106272,0.004111,0.498086,0.24064,0.995862,0.849109
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,14,0.107104,0.004125,0.497044,0.241664,0.995563,0.849937
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,15,0.107392,0.004308,0.501824,0.239616,0.999504,0.85314
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,16,0.106432,0.003787,0.498456,0.242688,0.995755,0.851363
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,17,0.107072,0.004049,0.498095,0.241664,0.996246,0.85088
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,18,0.10208,0.004081,0.496419,0.239616,0.988668,0.842196
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",128,19,0.107584,0.003924,0.542837,0.242688,1.04384,0.897033
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",192,0,0.314784,0.004023,1.6212,0.758784,2.84877,2.69879
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",192,1,0.312256,0.004015,1.58574,0.750592,2.80106,2.6526
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",192,2,0.312192,0.004051,1.57888,0.749568,2.79331,2.64469
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",192,3,0.314176,0.004165,1.58215,0.749568,2.79783,2.65006
