dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.043808,0.003914,0.063824,0.136192,0.606233,0.247738
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.027168,0.00386,0.037491,0.024576,0.25474,0.093095
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.027136,0.003602,0.031836,0.0256,0.246586,0.088174
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.025632,0.003665,0.03217,0.0256,0.245317,0.087067
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.025632,0.003647,0.03215,0.0256,0.245283,0.087029
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.023968,0.003521,0.031176,0.024576,0.252208,0.083241
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.026752,0.003643,0.031263,0.024576,0.245495,0.086234
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.025984,0.003583,0.031824,0.024576,0.244056,0.085967
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.024384,0.00364,0.031456,0.024576,0.243354,0.084056
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.025472,0.003691,0.031361,0.0256,0.24409,0.086124
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.025344,0.003604,0.031034,0.024576,0.244017,0.084558
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.024832,0.003554,0.03135,0.024576,0.243,0.084312
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.02512,0.003705,0.031432,0.0256,0.243667,0.085857
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.024608,0.003643,0.032275,0.0256,0.245412,0.086126
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.02528,0.003525,0.031112,0.024576,0.243941,0.084493
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.0248,0.003651,0.031742,0.024576,0.243581,0.084769
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.026016,0.003518,0.031024,0.0256,0.243494,0.086158
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.024192,0.003524,0.031989,0.024576,0.243812,0.084281
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.025184,0.00366,0.031346,0.0256,0.243912,0.08579
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.026496,0.003638,0.032381,0.024576,0.252839,0.087091
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,0.066304,0.003661,0.153202,0.090112,0.605689,0.313279
