dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | D",128,17,0.025184,0,0.026112,0.012288,0.115915,0.063584
1,float,uniform,CPU,"D | D",128,18,0.025664,0,0.025905,0.012288,0.117891,0.063857
1,float,uniform,CPU,"D | D",128,19,0.026624,0,0.025851,0.014336,0.122449,0.066811
1,float,uniform,CPU,"D | D",192,0,0.033984,0,0.060134,0.028672,0.188873,0.12279
1,float,uniform,CPU,"D | D",192,1,0.028448,0,0.035119,0.01536,0.12986,0.078927
1,float,uniform,CPU,"D | D",192,2,0.02816,0,0.033699,0.014336,0.12756,0.076195
1,float,uniform,CPU,"D | D",192,3,0.025856,0,0.033991,0.012288,0.124819,0.072135
1,float,uniform,CPU,"D | D",192,4,0.0256,0,0.033885,0.012288,0.123829,0.071773
1,float,uniform,CPU,"D | D",192,5,0.026464,0,0.03304,0.016384,0.126446,0.075888
1,float,uniform,CPU,"D | D",192,6,0.026528,0,0.033021,0.013312,0.123539,0.072861
1,float,uniform,CPU,"D | D",192,7,0.025856,0,0.033966,0.012288,0.123494,0.07211
1,float,uniform,CPU,"D | D",192,8,0.025408,0,0.033676,0.011264,0.12322,0.070348
1,float,uniform,CPU,"D | D",192,9,0.025152,0,0.033325,0.014336,0.124046,0.072813
1,float,uniform,CPU,"D | D",192,10,0.026688,0,0.033079,0.013312,0.123743,0.073079
1,float,uniform,CPU,"D | D",192,11,0.026784,0,0.033582,0.013312,0.123257,0.073678
1,float,uniform,CPU,"D | D",192,12,0.025088,0,0.035816,0.012288,0.124843,0.073192
1,float,uniform,CPU,"D | D",192,13,0.02608,0,0.033614,0.013312,0.123021,0.073006
1,float,uniform,CPU,"D | D",192,14,0.02512,0,0.033454,0.013312,0.121986,0.071886
1,float,uniform,CPU,"D | D",192,15,0.024928,0,0.033438,0.013312,0.122666,0.071678
1,float,uniform,CPU,"D | D",192,16,0.02544,0,0.033693,0.012288,0.123437,0.071421
1,float,uniform,CPU,"D | D",192,17,0.026816,0,0.039912,0.014336,0.133319,0.081064
1,float,uniform,CPU,"D | D",192,18,0.026176,0,0.033488,0.011264,0.122517,0.070928
1,float,uniform,CPU,"D | D",192,19,0.025248,0,0.036098,0.012288,0.124729,0.073634
1,float,uniform,CPU,"D | D",256,0,0.034944,0,0.052224,0.02048,0.170531,0.107648
1,float,uniform,CPU,"D | D",256,1,0.029856,0,0.042503,0.016384,0.142184,0.088743
1,float,uniform,CPU,"D | D",256,2,0.02736,0,0.037125,0.014336,0.129339,0.078821
1,float,uniform,CPU,"D | D",256,3,0.02912,0,0.035268,0.013312,0.130361,0.0777
1,float,uniform,CPU,"D | D",256,4,0.025568,0,0.035394,0.013312,0.125769,0.074274
1,float,uniform,CPU,"D | D",256,5,0.031232,0,0.035867,0.013312,0.135173,0.080411
1,float,uniform,CPU,"D | D",256,6,0.026592,0,0.03511,0.011264,0.125594,0.072966
1,float,uniform,CPU,"D | D",256,7,0.02704,0,0.034971,0.011264,0.125939,0.073275
1,float,uniform,CPU,"D | D",256,8,0.025888,0,0.157282,0.014336,0.247839,0.197506
1,float,uniform,CPU,"D | D",256,9,0.026304,0,0.035654,0.012288,0.127351,0.074246
1,float,uniform,CPU,"D | D",256,10,0.026272,0,0.035225,0.012288,0.125211,0.073785
1,float,uniform,CPU,"D | D",256,11,0.026624,0,0.035497,0.013312,0.125528,0.075433
1,float,uniform,CPU,"D | D",256,12,0.02656,0,0.035705,0.012288,0.126649,0.074553
1,float,uniform,CPU,"D | D",256,13,0.026496,0,0.049448,0.013312,0.140899,0.089256
1,float,uniform,CPU,"D | D",256,14,0.026112,0,0.03546,0.013312,0.125479,0.074884
1,float,uniform,CPU,"D | D",256,15,0.02592,0,0.035012,0.011264,0.125234,0.072196
1,float,uniform,CPU,"D | D",256,16,0.025344,0,0.034911,0.012288,0.125569,0.072543
1,float,uniform,CPU,"D | D",256,17,0.026656,0,0.035494,0.011264,0.12598,0.073414
1,float,uniform,CPU,"D | D",256,18,0.02592,0,0.038663,0.012288,0.129313,0.076871
1,float,uniform,CPU,"D | D",256,19,0.025248,0,0.035512,0.012288,0.12535,0.073048
1,float,uniform,CPU,"D | D",320,0,0.035808,0,0.038663,0.019456,0.157709,0.093927
1,float,uniform,CPU,"D | D",320,1,0.029056,0,0.032448,0.014336,0.131787,0.07584
1,float,uniform,CPU,"D | D",320,2,0.027168,0,0.03099,0.013312,0.123068,0.07147
1,float,uniform,CPU,"D | D",320,3,0.02672,0,0.030841,0.014336,0.122768,0.071897
1,float,uniform,CPU,"D | D",320,4,0.026112,0,0.030577,0.013312,0.124668,0.070001
1,float,uniform,CPU,"D | D",320,5,0.025664,0,0.030729,0.012288,0.120924,0.068681
1,float,uniform,CPU,"D | D",320,6,0.026624,0,0.03042,0.011264,0.119676,0.068308
