dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,0,0.648928,0.004221,0.113244,0.45568,1.33496,1.22207
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.691968,0.004001,0.064917,0.036864,0.873054,0.79775
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.619808,0.003777,0.058017,0.023552,0.776745,0.705154
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.62192,0.003753,0.056617,0.022528,0.777627,0.704818
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.620832,0.003664,0.056642,0.024576,0.784413,0.705714
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.619072,0.003859,0.05735,0.024576,0.774778,0.704857
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.702816,0.003682,0.056271,0.022528,0.857768,0.785297
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.739808,0.003757,0.056719,0.024576,0.8945,0.82486
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.627168,0.003625,0.057239,0.023552,0.781415,0.711584
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.627104,0.003722,0.057327,0.022528,0.780564,0.710681
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.62576,0.003725,0.056649,0.023552,0.778337,0.709686
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.6224,0.003731,0.056474,0.022528,0.774741,0.705133
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.626624,0.00358,0.056066,0.023552,0.778279,0.709822
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.616256,0.003716,0.056138,0.022528,0.772768,0.698638
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.700064,0.003794,0.055754,0.024576,0.852838,0.784188
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.71424,0.003742,0.056123,0.023552,0.867886,0.797657
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,16,0.659744,0.003653,0.055733,0.024576,0.812766,0.743706
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,17,0.616288,0.003662,0.05587,0.024576,0.768349,0.700396
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.61648,0.004395,0.062831,0.024576,0.79211,0.708282
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.616096,0.003649,0.055503,0.023552,0.768611,0.6988
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,0,3.34387,0.004252,0.31913,0.144384,3.91397,3.81164
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,1,3.41363,0.004385,0.268163,0.134144,3.89715,3.82032
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,2,3.45242,0.00387,0.262431,0.131072,3.92539,3.84979
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,3,3.44646,0.003989,0.262229,0.134144,3.92227,3.84683
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,4,3.42288,0.004018,0.260023,0.140288,3.90021,3.82721
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,5,3.392,0.004023,0.268991,0.13312,3.87603,3.79813
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,6,3.38317,0.00396,0.265354,0.134144,3.85996,3.78663
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,7,3.40643,0.003861,0.262199,0.132096,3.87794,3.80459
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,8,3.40378,0.003917,0.263827,0.132096,3.8753,3.80362
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,9,3.44906,0.004056,0.257896,0.131072,3.91517,3.84208
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,10,3.33875,0.003966,0.261706,0.131072,3.80783,3.7355
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,11,3.34022,0.003985,0.262668,0.13312,3.81248,3.74
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,12,3.31104,0.003879,0.264058,0.132096,3.78539,3.71107
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,13,3.32102,0.00411,0.384883,0.13312,3.91638,3.84314
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,14,3.38141,0.0044,0.269137,0.130048,3.85937,3.78499
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,15,3.3855,0.003964,0.261383,0.131072,3.85344,3.78192
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,16,3.46118,0.003999,0.259226,0.129024,3.92718,3.85343
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,17,3.37722,0.004004,0.265913,0.131072,3.85472,3.7782
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,18,3.40186,0.003993,0.261288,0.13312,3.87812,3.80026
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,19,3.33741,0.003846,0.259271,0.132096,3.80628,3.73262
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,0,11.9306,0.004061,0.752426,0.437248,13.2204,13.1243
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,1,11.912,0.004476,0.722448,0.436224,13.1669,13.0751
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,2,11.9823,0.004111,0.719398,0.431104,13.2303,13.1369
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,3,11.9114,0.004488,0.719987,0.429056,13.1597,13.0649
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,4,11.9719,0.004159,0.725545,0.432128,13.2252,13.1337
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,5,11.9754,0.004545,0.722753,0.438272,13.2397,13.1409
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,6,11.8897,0.004181,0.732961,0.4352,13.1549,13.062
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,7,11.9774,0.004144,0.716578,0.4352,13.2245,13.1333
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,8,11.8791,0.004193,0.725211,0.4352,13.1353,13.0437
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,9,11.9925,0.004394,0.719138,0.437248,13.2446,13.1533
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,10,11.9924,0.004163,0.722704,0.432128,13.2399,13.1514
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,11,12.0153,0.004147,0.718241,0.434176,13.265,13.1719
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,12,11.9081,0.004058,0.727018,0.436224,13.1661,13.0754
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,13,11.947,0.004186,0.718455,0.439296,13.2054,13.1089
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,14,11.9509,0.004079,0.71031,0.431104,13.184,13.0964
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,15,12.0264,0.004089,0.725531,0.433152,13.2845,13.1891
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,16,11.8708,0.004201,0.722021,0.436224,13.1228,13.0332
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,17,11.8567,0.004201,0.71917,0.434176,13.1056,13.0142
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,18,11.7907,0.004146,0.720235,0.433152,13.0391,12.9483
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,19,11.8607,0.004197,0.719557,0.436224,13.1203,13.0207
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,0,28.681,0.004278,1.66922,0.9728,31.4241,31.3273
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,1,28.5889,0.004286,1.60625,0.968704,31.2637,31.1681
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,2,28.4069,0.004352,1.60942,0.976896,31.0956,30.9976
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,3,28.5647,0.00426,1.61772,0.968704,31.3643,31.1554
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,4,28.6436,0.004206,1.61239,0.969728,31.3244,31.2299
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,5,28.7491,0.004856,1.61146,0.971776,31.4341,31.3372
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,6,28.3395,0.00431,1.603,0.971776,31.0138,30.9186
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,7,28.6161,0.00465,1.60908,0.970752,31.2971,31.2006
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,8,28.3953,0.004299,1.60356,0.975872,31.0727,30.9791
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,9,28.1694,0.004236,1.61168,0.970752,30.852,30.7561
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,10,28.2865,0.004378,1.60902,0.970752,30.9725,30.8706
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",256,11,28.0597,0.004332,1.60889,0.966656,30.7365,30.6396
