dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ns",64,0,0.05616,0,0.072732,0.357376,0.583637,0.486268
1,double,uniform,CPU,"Ns | Ns",64,1,0.02864,0,0.029333,0.01536,0.129372,0.073333
1,double,uniform,CPU,"Ns | Ns",64,2,0.028992,0,0.024384,0.013312,0.118804,0.066688
1,double,uniform,CPU,"Ns | Ns",64,3,0.027648,0,0.024173,0.012288,0.114663,0.064109
1,double,uniform,CPU,"Ns | Ns",64,4,0.027392,0,0.024113,0.013312,0.11436,0.064817
1,double,uniform,CPU,"Ns | Ns",64,5,0.026784,0,0.024559,0.011264,0.114031,0.062607
1,double,uniform,CPU,"Ns | Ns",64,6,0.025472,0,0.024078,0.012288,0.113693,0.061838
1,double,uniform,CPU,"Ns | Ns",64,7,0.02512,0,0.023721,0.013312,0.113482,0.062153
1,double,uniform,CPU,"Ns | Ns",64,8,0.024928,0,0.02421,0.011264,0.113362,0.060402
1,double,uniform,CPU,"Ns | Ns",64,9,0.025184,0,0.024182,0.013312,0.113104,0.062678
1,double,uniform,CPU,"Ns | Ns",64,10,0.026208,0,0.024153,0.011264,0.111998,0.061625
1,double,uniform,CPU,"Ns | Ns",64,11,0.02528,0,0.024084,0.013312,0.112182,0.062676
1,double,uniform,CPU,"Ns | Ns",64,12,0.024832,0,0.024271,0.012288,0.118825,0.061391
1,double,uniform,CPU,"Ns | Ns",64,13,0.024736,0,0.024921,0.012288,0.113615,0.061945
1,double,uniform,CPU,"Ns | Ns",64,14,0.025312,0,0.024262,0.012288,0.113171,0.061862
1,double,uniform,CPU,"Ns | Ns",64,15,0.025856,0,0.02412,0.012288,0.119326,0.062264
1,double,uniform,CPU,"Ns | Ns",64,16,0.025376,0,0.023939,0.013312,0.113482,0.062627
1,double,uniform,CPU,"Ns | Ns",64,17,0.025152,0,0.023922,0.014336,0.113235,0.06341
1,double,uniform,CPU,"Ns | Ns",64,18,0.026496,0,0.023685,0.012288,0.112419,0.062469
1,double,uniform,CPU,"Ns | Ns",64,19,0.024864,0,0.023861,0.012288,0.111911,0.061013
1,double,uniform,CPU,"Ns | Ns",128,0,0.033376,0,0.038557,0.02048,0.152568,0.092413
1,double,uniform,CPU,"Ns | Ns",128,1,0.02656,0,0.027819,0.01536,0.120602,0.069739
1,double,uniform,CPU,"Ns | Ns",128,2,0.026816,0,0.025361,0.014336,0.116674,0.066513
