dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,1.09514,0.004128,0.132797,0.380928,1.72331,1.61299
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.990048,0.003773,0.082947,0.017408,1.15832,1.09418
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.981248,0.003714,0.11941,0.016384,1.18281,1.12076
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.98752,0.003552,0.075841,0.017408,1.14372,1.08432
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.987072,0.003596,0.074512,0.017408,1.14286,1.08259
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,1.00102,0.003591,0.07449,0.016384,1.15429,1.09549
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.98848,0.003626,0.07329,0.016384,1.14127,1.08178
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,1.05238,0.003601,0.073799,0.016384,1.20564,1.14617
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.987296,0.003656,0.07288,0.017408,1.14059,1.08124
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.984768,0.003492,0.074608,0.016384,1.14047,1.07925
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.992064,0.003584,0.07313,0.018432,1.14482,1.08721
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,1.05091,0.00362,0.074238,0.016384,1.20457,1.14515
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,1.0896,0.003652,0.073115,0.017408,1.24287,1.18377
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.989408,0.003512,0.073725,0.016384,1.14161,1.08303
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.980384,0.003561,0.072821,0.016384,1.13306,1.07315
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.97632,0.003544,0.079948,0.016384,1.13612,1.0762
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.9872,0.003689,0.073302,0.016384,1.14032,1.08057
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,1.0497,0.003651,0.072711,0.016384,1.20267,1.14244
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,1.07818,0.003634,0.073133,0.016384,1.23125,1.17133
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,0.994624,0.003582,0.073961,0.016384,1.1483,1.08855
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,6.88976,0.004113,0.415963,0.119808,7.52005,7.42964
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,7.08557,0.0041,0.376465,0.110592,7.6477,7.57672
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,7.05123,0.004247,0.3747,0.110592,7.61331,7.54077
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,6.95046,0.003929,0.375633,0.111616,7.51224,7.44164
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,7.02381,0.003865,0.373753,0.110592,7.58225,7.51202
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,7.0112,0.003817,0.38078,0.110592,7.57478,7.50639
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,7.0215,0.003955,0.371916,0.109568,7.57828,7.50694
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,6.95782,0.003832,0.377349,0.111616,7.51931,7.45062
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,6.89923,0.004407,0.375445,0.11264,7.46708,7.39172
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,6.98541,0.003888,0.375087,0.110592,7.54455,7.47497
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,6.95661,0.003922,0.37473,0.110592,7.51683,7.44585
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,6.93232,0.003939,0.375965,0.111616,7.50324,7.42384
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,6.91782,0.004211,0.374579,0.113664,7.48224,7.41028
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,7.01894,0.003915,0.374003,0.110592,7.57749,7.50745
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,7.02893,0.003937,0.372026,0.11264,7.58862,7.51753
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,6.97283,0.003897,0.381591,0.110592,7.53861,7.46891
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,7.01066,0.003952,0.372585,0.108544,7.56721,7.49574
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,7.05133,0.00398,0.375051,0.111616,7.61306,7.54198
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,6.95354,0.004359,0.461682,0.115712,7.60471,7.53529
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,6.91338,0.004055,0.373822,0.111616,7.47404,7.40287
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,23.9731,0.004057,1.23096,0.364544,25.6629,25.5726
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,23.7476,0.00411,1.15553,0.359424,25.3517,25.2667
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,24.0105,0.004011,1.17274,0.359424,25.6283,25.5467
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,23.9612,0.003994,1.17599,0.359424,25.5866,25.5007
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,24.0318,0.003995,1.17228,0.357376,25.6518,25.5654
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,23.9708,0.004235,1.17637,0.3584,25.5959,25.5098
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,23.9726,0.003999,1.17231,0.360448,25.5934,25.5094
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,23.9822,0.003866,1.17974,0.361472,25.6113,25.5273
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,23.7855,0.003982,1.17175,0.3584,25.4033,25.3197
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,23.7679,0.003996,1.17779,0.3584,25.3935,25.3081
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,23.8808,0.004021,1.16719,0.361472,25.4984,25.4135
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,23.6386,0.003848,1.17737,0.364544,25.2685,25.1844
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,23.6993,0.00389,1.17181,0.377856,25.3376,25.2528
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,24.0676,0.00395,1.1771,0.357376,25.6989,25.606
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,23.584,0.004049,1.17876,0.359424,25.2123,25.1262
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,24.0473,0.003968,1.17515,0.361472,25.6754,25.5879
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,23.7981,0.003943,1.17671,0.356352,25.4155,25.3351
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,24.1831,0.00403,1.17203,0.357376,25.8026,25.7165
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,23.7965,0.00417,1.17317,0.360448,25.4191,25.3343
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,23.924,0.003936,1.17704,0.362496,25.553,25.4674
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,0,55.7162,0.003165,2.80681,0.80896,59.4307,59.3351
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,1,67.4763,0.003084,2.73151,0.800768,71.1021,71.0116
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,2,55.1764,0.003012,2.74028,0.800768,58.8024,58.7204
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,3,55.7199,0.003022,2.75106,0.802816,59.3605,59.2768
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,4,55.4269,0.003101,2.74481,0.800768,59.0571,58.9756
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,5,56.1619,0.003013,2.73061,0.797696,59.7785,59.6932
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,6,55.6822,0.00299,2.74497,0.795648,59.3046,59.2258
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,7,55.9371,0.003043,2.73624,0.799744,59.5604,59.4761
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,8,55.5572,0.002984,2.72722,0.79872,59.1672,59.0862
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,9,56.2441,0.003026,2.74778,0.800768,59.8769,59.7956
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,10,56.1388,0.003044,2.7458,0.79872,59.7694,59.6864
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,11,56.0278,0.003178,2.7386,0.802816,59.6537,59.5724
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,12,56.0988,0.003074,2.73487,0.800768,59.7192,59.6375
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,13,56.1413,0.00302,2.74051,0.799744,59.7686,59.6845
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,14,56.0815,0.003266,2.73045,0.799744,59.6943,59.6149
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,15,56.2095,0.003011,2.73152,0.801792,59.8304,59.7459
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,16,55.5813,0.003519,2.73532,0.801792,59.2043,59.122
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,17,55.6082,0.003279,2.74231,0.796672,59.2359,59.1505
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,18,56.2245,0.003063,2.74103,0.79872,59.8492,59.7673
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,19,56.0574,0.002969,2.74067,0.795648,59.6775,59.5967
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,0,106.598,0.003022,7.13616,1.54214,115.365,115.28
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,1,106.47,0.00307,7.1193,1.54419,115.224,115.137
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,2,107.929,0.003074,7.1055,1.54317,116.665,116.581
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,3,107.616,0.002957,7.1084,1.54317,116.354,116.271
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,4,107.296,0.003059,7.10384,1.54112,116.029,115.944
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,5,107.373,0.003024,7.11296,1.55034,116.126,116.039
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,6,108.408,0.003065,7.10424,1.53907,117.14,117.055
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,7,107.534,0.008545,7.16317,1.55034,116.381,116.256
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,8,106.682,0.003034,7.10857,1.54931,115.422,115.343
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,9,106.34,0.002985,7.09922,1.54317,115.065,114.985
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,10,106.908,0.002983,7.11215,1.54112,115.645,115.564
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,11,106.039,0.003058,7.10448,1.5401,114.773,114.687
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,12,107.667,0.003075,7.11327,1.54112,116.409,116.325
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,13,108.448,0.003004,7.11329,1.53805,117.193,117.103
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,14,107.335,0.002997,7.11277,1.54214,116.073,115.993
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,15,106.537,0.003021,7.10703,1.53907,115.269,115.186
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,16,106.407,0.002959,7.11191,1.54829,115.149,115.07
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,17,108.385,0.003133,7.11222,1.54419,117.129,117.045
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,18,106.626,0.003111,7.10422,1.54726,115.367,115.281
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,19,106.384,0.00299,7.11725,1.54522,115.138,115.049
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,0,229.622,0.002996,12.8349,2.67878,245.222,245.139
