dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,0,1.07696,0.004566,0.128483,0.466944,1.79585,1.67695
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,1,1.01549,0.00418,0.082914,0.029696,1.206,1.13228
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,2,1.00042,0.00378,0.075522,0.028672,1.17838,1.10839
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,3,0.996768,0.003761,0.073585,0.028672,1.17247,1.10279
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,4,0.98816,0.003745,0.07442,0.028672,1.1649,1.095
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,5,1.16221,0.003687,0.073426,0.029696,1.33899,1.26902
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,6,0.99136,0.003685,0.073159,0.028672,1.16693,1.09688
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,7,0.986336,0.003761,0.073161,0.026624,1.16126,1.08988
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,8,0.980768,0.003683,0.134498,0.028672,1.21983,1.14762
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,9,0.977952,0.003607,0.075911,0.027648,1.15614,1.08512
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,10,0.984032,0.003611,0.0737,0.028672,1.15919,1.09002
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,11,0.984192,0.003737,0.07387,0.028672,1.15971,1.09047
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,12,0.997568,0.0037,0.073936,0.027648,1.1727,1.10285
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,13,1.15459,0.003671,0.074069,0.027648,1.33012,1.25998
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,14,0.993696,0.00372,0.072627,0.028672,1.16768,1.09871
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,15,0.988896,0.003673,0.073859,0.027648,1.16567,1.09408
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,16,0.982272,0.003657,0.073176,0.027648,1.15697,1.08675
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,17,0.974752,0.003759,0.080729,0.028672,1.15694,1.08791
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,18,1.03219,0.003705,0.073241,0.026624,1.20764,1.13576
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,19,0.98528,0.003709,0.073954,0.027648,1.16159,1.09059
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,0,6.95968,0.004487,0.560443,0.252928,7.8798,7.77754
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,1,6.95165,0.004193,0.524022,0.241664,7.80328,7.72153
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,2,6.91194,0.004458,0.526001,0.239616,7.7695,7.68201
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,3,7.0512,0.004182,0.529497,0.239616,7.90733,7.82449
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,4,6.98685,0.004156,0.523532,0.243712,7.84241,7.75825
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,5,7.07238,0.004168,0.526747,0.242688,7.92641,7.84599
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,6,6.89398,0.00418,0.525689,0.242688,7.74856,7.66654
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,7,6.95997,0.004128,0.526612,0.242688,7.81416,7.7334
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,8,6.95069,0.004111,0.52822,0.246784,7.81624,7.7298
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,9,7.08518,0.004058,0.521644,0.243712,7.9372,7.8546
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,10,7.02438,0.004349,0.524023,0.242688,7.87851,7.79544
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,11,6.97258,0.0039,0.520033,0.241664,7.81955,7.73817
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,12,6.93216,0.004088,0.518897,0.242688,7.77756,7.69783
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,13,6.95696,0.004089,0.570381,0.244736,7.86594,7.77617
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,14,6.88928,0.004216,0.528399,0.24064,7.74653,7.66254
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,15,6.95315,0.004172,0.525486,0.247808,7.81529,7.73062
