dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ds | Ds",64,0,0.073728,0,0.049092,0.36352,0.574721,0.48634
1,double,uniform,GPU,"Ds | Ds",64,1,0.022528,0,0.026908,0.014336,0.112189,0.063772
1,double,uniform,GPU,"Ds | Ds",64,2,0.019456,0,0.022576,0.012288,0.101415,0.05432
1,double,uniform,GPU,"Ds | Ds",64,3,0.019456,0,0.022069,0.012288,0.106113,0.053813
1,double,uniform,GPU,"Ds | Ds",64,4,0.019456,0,0.021592,0.012288,0.09984,0.053336
1,double,uniform,GPU,"Ds | Ds",64,5,0.019456,0,0.021824,0.013312,0.099428,0.054592
1,double,uniform,GPU,"Ds | Ds",64,6,0.019456,0,0.022096,0.011264,0.100592,0.052816
1,double,uniform,GPU,"Ds | Ds",64,7,0.019456,0,0.021924,0.012288,0.10036,0.053668
1,double,uniform,GPU,"Ds | Ds",64,8,0.018432,0,0.021652,0.012288,0.099334,0.052372
1,double,uniform,GPU,"Ds | Ds",64,9,0.019456,0,0.021946,0.013312,0.10127,0.054714
1,double,uniform,GPU,"Ds | Ds",64,10,0.017408,0,0.021609,0.012288,0.099265,0.051305
1,double,uniform,GPU,"Ds | Ds",64,11,0.018432,0,0.021571,0.011264,0.09951,0.051267
1,double,uniform,GPU,"Ds | Ds",64,12,0.023552,0,0.021885,0.013312,0.105788,0.058749
1,double,uniform,GPU,"Ds | Ds",64,13,0.019456,0,0.021867,0.012288,0.100137,0.053611
1,double,uniform,GPU,"Ds | Ds",64,14,0.018432,0,0.022529,0.012288,0.099904,0.053249
1,double,uniform,GPU,"Ds | Ds",64,15,0.02048,0,0.021627,0.011264,0.09934,0.053371
1,double,uniform,GPU,"Ds | Ds",64,16,0.017408,0,0.022006,0.012288,0.098267,0.051702
1,double,uniform,GPU,"Ds | Ds",64,17,0.019456,0,0.021906,0.012288,0.100213,0.05365
1,double,uniform,GPU,"Ds | Ds",64,18,0.024576,0,0.022497,0.012288,0.106554,0.059361
1,double,uniform,GPU,"Ds | Ds",64,19,0.02048,0,0.022377,0.012288,0.100439,0.055145
1,double,uniform,GPU,"Ds | Ds",128,0,0.031744,0,0.031433,0.021504,0.138635,0.084681
1,double,uniform,GPU,"Ds | Ds",128,1,0.02048,0,0.023916,0.013312,0.11236,0.057708
1,double,uniform,GPU,"Ds | Ds",128,2,0.019456,0,0.023792,0.012288,0.103827,0.055536
1,double,uniform,GPU,"Ds | Ds",128,3,0.018432,0,0.023319,0.011264,0.100357,0.053015
1,double,uniform,GPU,"Ds | Ds",128,4,0.018432,0,0.022632,0.013312,0.101464,0.054376
1,double,uniform,GPU,"Ds | Ds",128,5,0.0256,0,0.022816,0.012288,0.109678,0.060704
1,double,uniform,GPU,"Ds | Ds",128,6,0.019456,0,0.022468,0.012288,0.099889,0.054212
1,double,uniform,GPU,"Ds | Ds",128,7,0.019456,0,0.023107,0.011264,0.100493,0.053827
1,double,uniform,GPU,"Ds | Ds",128,8,0.017408,0,0.023303,0.012288,0.100506,0.052999
1,double,uniform,GPU,"Ds | Ds",128,9,0.018432,0,0.022413,0.011264,0.099898,0.052109
1,double,uniform,GPU,"Ds | Ds",128,10,0.022528,0,0.022648,0.011264,0.102372,0.05644
1,double,uniform,GPU,"Ds | Ds",128,11,0.018432,0,0.022942,0.01024,0.099337,0.051614
1,double,uniform,GPU,"Ds | Ds",128,12,0.019456,0,0.022858,0.011264,0.099687,0.053578
1,double,uniform,GPU,"Ds | Ds",128,13,0.019456,0,0.022749,0.011264,0.100497,0.053469
1,double,uniform,GPU,"Ds | Ds",128,14,0.019456,0,0.022389,0.011264,0.100119,0.053109
1,double,uniform,GPU,"Ds | Ds",128,15,0.018432,0,0.022469,0.011264,0.100524,0.052165
1,double,uniform,GPU,"Ds | Ds",128,16,0.018432,0,0.022749,0.011264,0.099064,0.052445
1,double,uniform,GPU,"Ds | Ds",128,17,0.018432,0,0.023099,0.011264,0.101394,0.052795
1,double,uniform,GPU,"Ds | Ds",128,18,0.019456,0,0.022715,0.012288,0.101007,0.054459
1,double,uniform,GPU,"Ds | Ds",128,19,0.022528,0,0.022303,0.012288,0.103841,0.057119
1,double,uniform,GPU,"Ds | Ds",192,0,0.03072,0,0.034237,0.018432,0.136404,0.083389
1,double,uniform,GPU,"Ds | Ds",192,1,0.02048,0,0.02675,0.012288,0.110372,0.059518
1,double,uniform,GPU,"Ds | Ds",192,2,0.019456,0,0.025508,0.014336,0.106733,0.0593
1,double,uniform,GPU,"Ds | Ds",192,3,0.022528,0,0.025116,0.012288,0.108249,0.059932
1,double,uniform,GPU,"Ds | Ds",192,4,0.018432,0,0.024357,0.011264,0.101568,0.054053
