dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",64,0,0.036576,0.004112,0.105605,0.462848,0.757369,0.609141
3,double,uniform,GPU,"P | P | P | P | N | D",64,1,0.02832,0.003769,0.083533,0.03072,0.294171,0.146342
3,double,uniform,GPU,"P | P | P | P | N | D",64,2,0.027584,0.003722,0.072735,0.028672,0.276394,0.132713
3,double,uniform,GPU,"P | P | P | P | N | D",64,3,0.024352,0.003638,0.071638,0.027648,0.271644,0.127276
3,double,uniform,GPU,"P | P | P | P | N | D",64,4,0.025024,0.003619,0.071321,0.028672,0.271336,0.128636
3,double,uniform,GPU,"P | P | P | P | N | D",64,5,0.026624,0.003563,0.071531,0.028672,0.273078,0.13039
3,double,uniform,GPU,"P | P | P | P | N | D",64,6,0.027456,0.003698,0.072338,0.029696,0.275993,0.133188
3,double,uniform,GPU,"P | P | P | P | N | D",64,7,0.024256,0.003654,0.071963,0.028672,0.271362,0.128545
3,double,uniform,GPU,"P | P | P | P | N | D",64,8,0.026144,0.003626,0.071615,0.027648,0.273465,0.129033
3,double,uniform,GPU,"P | P | P | P | N | D",64,9,0.024896,0.003617,0.072257,0.027648,0.272192,0.128418
3,double,uniform,GPU,"P | P | P | P | N | D",64,10,0.024608,0.00358,0.072889,0.026624,0.272482,0.127701
3,double,uniform,GPU,"P | P | P | P | N | D",64,11,0.026016,0.003675,0.070847,0.028672,0.271588,0.12921
3,double,uniform,GPU,"P | P | P | P | N | D",64,12,0.02448,0.003606,0.149811,0.03072,0.350619,0.208617
3,double,uniform,GPU,"P | P | P | P | N | D",64,13,0.027136,0.00355,0.071098,0.027648,0.272186,0.129432
3,double,uniform,GPU,"P | P | P | P | N | D",64,14,0.023872,0.00357,0.070915,0.028672,0.268728,0.127029
3,double,uniform,GPU,"P | P | P | P | N | D",64,15,0.025216,0.003639,0.071671,0.028672,0.272138,0.129198
