dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,0,1.07699,0.004265,0.134312,0.45056,1.78079,1.66613
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,1,0.959168,0.003611,0.089986,0.03072,1.16915,1.08349
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,2,0.951968,0.003308,0.077764,0.028672,1.12841,1.06171
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,3,0.952992,0.003397,0.076102,0.028672,1.12707,1.06116
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,4,0.964512,0.003352,0.07629,0.027648,1.14026,1.0718
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,5,0.960512,0.003353,0.075868,0.026624,1.1347,1.06636
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,6,1.04685,0.003451,0.073743,0.028672,1.22042,1.15271
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,7,0.961408,0.003324,0.07521,0.027648,1.13554,1.06759
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,8,0.959776,0.003312,0.074424,0.026624,1.13218,1.06414
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,9,0.968032,0.003332,0.074997,0.028672,1.14249,1.07503
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,10,0.968608,0.003324,0.075123,0.0256,1.14164,1.07265
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,11,0.964416,0.003269,0.075024,0.026624,1.13603,1.06933
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,12,1.04051,0.003299,0.074796,0.028672,1.2142,1.14728
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,13,0.947104,0.003339,0.079397,0.026624,1.1234,1.05646
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,14,0.960768,0.003189,0.077214,0.026624,1.13735,1.0678
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,15,0.96464,0.003239,0.075253,0.028672,1.13841,1.0718
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,16,0.958432,0.003255,0.074989,0.028672,1.1311,1.06535
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,17,0.9496,0.003285,0.075301,0.026624,1.12542,1.05481
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,18,0.954016,0.00339,0.074592,0.036864,1.13604,1.06886
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,19,0.956416,0.003341,0.073789,0.027648,1.12805,1.06119
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,0,6.78957,0.00386,0.552446,0.249856,7.68978,7.59573
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,1,6.89654,0.003645,0.521128,0.24064,7.74536,7.66196
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,2,6.94317,0.003618,0.518044,0.239616,7.78467,7.70445
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,3,6.92986,0.003761,0.517991,0.241664,7.77438,7.69327
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,4,6.93258,0.003967,0.51914,0.239616,7.77809,7.6953
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,5,6.89693,0.003631,0.521825,0.24064,7.74188,7.66302
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,6,7.00042,0.003588,0.523252,0.242688,7.85029,7.76994
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,7,6.89382,0.003656,0.519058,0.241664,7.74111,7.6582
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,8,6.96794,0.003436,0.522251,0.242688,7.85366,7.73631
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,9,6.9241,0.00374,0.519297,0.243712,7.77482,7.69085
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,10,7.01875,0.003483,0.519871,0.238592,7.85876,7.7807
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,11,6.95821,0.003735,0.513552,0.244736,7.80091,7.72023
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,12,6.90822,0.003375,0.517918,0.239616,7.75003,7.66913
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,13,6.99946,0.003723,0.5196,0.24064,7.94044,7.76342
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,14,6.92326,0.003538,0.516804,0.24064,7.76541,7.68425
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,15,7.1175,0.003627,0.514105,0.242688,7.95628,7.87792
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,16,6.96554,0.003566,0.537328,0.24064,7.82509,7.74707
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,17,6.9719,0.00349,0.522788,0.236544,7.81456,7.73473
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,18,6.93018,0.003576,0.518449,0.241664,7.77554,7.69386
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,19,7.16643,0.003448,0.516692,0.238592,8.00541,7.92516
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,0,23.731,0.003814,1.60947,0.761856,26.2048,26.1061
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,1,23.7726,0.004118,1.54946,0.859136,26.2771,26.1854
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,2,23.8153,0.004208,1.55405,0.753664,26.293,26.1273
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,3,23.7727,0.003653,1.56808,0.753664,26.1907,26.0981
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,4,23.8494,0.00391,1.65474,0.750592,26.35,26.2587
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,5,23.9693,0.003709,1.55615,0.751616,26.3748,26.2808
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,6,23.6976,0.003729,1.55738,0.754688,26.0995,26.0134
