dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,1.0823,0.005945,0.093014,0.136192,1.65682,1.31745
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.992896,0.004057,0.049289,0.026624,1.16913,1.07287
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.991008,0.003836,0.044877,0.026624,1.15748,1.06634
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.981984,0.003881,0.044311,0.026624,1.14916,1.0568
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.980032,0.003853,0.049196,0.026624,1.15122,1.0597
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,1.11174,0.003856,0.043934,0.026624,1.27794,1.18616
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.99472,0.003958,0.043991,0.026624,1.16126,1.06929
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,1.0785,0.003856,0.044014,0.0256,1.24903,1.15197
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.99216,0.003838,0.04426,0.026624,1.15758,1.06688
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.986336,0.003806,0.044799,0.026624,1.15203,1.06156
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.97488,0.003818,0.04409,0.026624,1.14004,1.04941
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.980544,0.003771,0.044202,0.026624,1.1543,1.05514
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,1.06557,0.003816,0.044425,0.026624,1.23156,1.14043
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,1.08349,0.003868,0.043834,0.026624,1.24814,1.15781
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.9968,0.003821,0.044305,0.026624,1.1613,1.07155
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.988416,0.003891,0.043818,0.026624,1.15302,1.06275
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.983296,0.003805,0.043851,0.026624,1.1479,1.05758
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.981824,0.003727,0.043847,0.026624,1.14552,1.05602
