dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,1.04986,0,0.116844,0.388096,1.65523,1.5548
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.96208,0,0.076131,0.02048,1.11925,1.05869
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.958688,0,0.068394,0.018432,1.10229,1.04551
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,1.0657,0,0.068373,0.019456,1.20895,1.15352
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,1.00221,0,0.067055,0.018432,1.14311,1.0877
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.962624,0,0.066378,0.019456,1.10338,1.04846
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.945536,0,0.067072,0.018432,1.09301,1.03104
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.952384,0,0.067166,0.02048,1.09608,1.04003
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,1.03222,0,0.067989,0.018432,1.1758,1.11864
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,1.03712,0,0.068193,0.018432,1.17964,1.12374
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.953824,0,0.067389,0.018432,1.09551,1.03964
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.94848,0,0.067464,0.019456,1.09109,1.0354
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.958272,0,0.067399,0.019456,1.09924,1.04513
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,1.00874,0,0.067117,0.018432,1.14961,1.09429
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,1.05235,0,0.066723,0.018432,1.1949,1.13751
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,1.05075,0,0.066963,0.02048,1.19286,1.13819
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.958144,0,0.067371,0.017408,1.09935,1.04292
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.948096,0,0.067007,0.019456,1.08849,1.03456
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,1.11811,0,0.067329,0.018432,1.2594,1.20387
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,1.30173,0,0.067022,0.019456,1.44407,1.38821
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,6.8249,0,0.38581,0.113664,7.3996,7.32437
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,7.03219,0,0.36082,0.111616,7.58238,7.50463
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,6.97046,0,0.358801,0.111616,7.50973,7.44088
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,7.06253,0,0.360978,0.110592,7.59927,7.5341
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,6.92666,0,0.357839,0.111616,7.46378,7.39611
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,6.89594,0,0.35768,0.111616,7.4304,7.36523
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,6.93389,0,0.362473,0.111616,7.47203,7.40798
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,6.86454,0,0.365175,0.113664,7.44089,7.34338
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,6.91136,0,0.358132,0.110592,7.4451,7.38008
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,7.06458,0,0.355323,0.111616,7.59606,7.53152
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,7.05088,0,0.361099,0.111616,7.58945,7.5236
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,6.90429,0,0.359898,0.109568,7.44208,7.37375
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,6.90816,0,0.362968,0.110592,7.45204,7.38172
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,6.9176,0,0.360326,0.111616,7.45753,7.38954
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,6.96285,0,0.360657,0.111616,7.50603,7.43512
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,7.06298,0,0.35719,0.110592,7.59685,7.53076
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,7.06931,0,0.361071,0.109568,7.60556,7.53995
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,7.04816,0,0.358163,0.11264,7.58303,7.51896
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,6.95859,0,0.360753,0.110592,7.50695,7.42994
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,7.10272,0,0.35879,0.110592,7.63927,7.5721
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,23.9978,0,1.17738,0.370688,25.6432,25.5458
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,23.4722,0,1.12471,0.36352,25.0382,24.9604
