dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"D | D | D | D",64,0,0.073728,0,0.063125,0.357376,0.58168,0.494229
2,float,uniform,GPU,"D | D | D | D",64,1,0.021504,0,0.037802,0.014336,0.123796,0.073642
2,float,uniform,GPU,"D | D | D | D",64,2,0.02048,0,0.032974,0.012288,0.114458,0.065742
2,float,uniform,GPU,"D | D | D | D",64,3,0.019456,0,0.032796,0.012288,0.112325,0.06454
2,float,uniform,GPU,"D | D | D | D",64,4,0.018432,0,0.032525,0.012288,0.112442,0.063245
2,float,uniform,GPU,"D | D | D | D",64,5,0.02048,0,0.031688,0.012288,0.118706,0.064456
2,float,uniform,GPU,"D | D | D | D",64,6,0.018432,0,0.032706,0.012288,0.112434,0.063426
2,float,uniform,GPU,"D | D | D | D",64,7,0.02048,0,0.031945,0.012288,0.111801,0.064713
2,float,uniform,GPU,"D | D | D | D",64,8,0.019456,0,0.03858,0.013312,0.118627,0.071348
2,float,uniform,GPU,"D | D | D | D",64,9,0.018432,0,0.03252,0.013312,0.110967,0.064264
2,float,uniform,GPU,"D | D | D | D",64,10,0.019456,0,0.031988,0.012288,0.11238,0.063732
2,float,uniform,GPU,"D | D | D | D",64,11,0.018432,0,0.035213,0.012288,0.114543,0.065933
2,float,uniform,GPU,"D | D | D | D",64,12,0.02048,0,0.032095,0.012288,0.112219,0.064863
2,float,uniform,GPU,"D | D | D | D",64,13,0.019456,0,0.032026,0.011264,0.111424,0.062746
2,float,uniform,GPU,"D | D | D | D",64,14,0.018432,0,0.032004,0.011264,0.110828,0.0617
2,float,uniform,GPU,"D | D | D | D",64,15,0.018432,0,0.032426,0.013312,0.112101,0.06417
2,float,uniform,GPU,"D | D | D | D",64,16,0.019456,0,0.032584,0.012288,0.111441,0.064328
2,float,uniform,GPU,"D | D | D | D",64,17,0.019456,0,0.032224,0.013312,0.111449,0.064992
2,float,uniform,GPU,"D | D | D | D",64,18,0.018432,0,0.035695,0.012288,0.114986,0.066415
2,float,uniform,GPU,"D | D | D | D",64,19,0.018432,0,0.03166,0.011264,0.109926,0.061356
2,float,uniform,GPU,"D | D | D | D",128,0,0.04096,0,0.048842,0.018432,0.163519,0.108234
2,float,uniform,GPU,"D | D | D | D",128,1,0.021504,0,0.03949,0.014336,0.125406,0.07533
2,float,uniform,GPU,"D | D | D | D",128,2,0.019456,0,0.038895,0.013312,0.122173,0.071663
2,float,uniform,GPU,"D | D | D | D",128,3,0.017408,0,0.038363,0.012288,0.118476,0.068059
2,float,uniform,GPU,"D | D | D | D",128,4,0.018432,0,0.038008,0.01536,0.121445,0.0718
2,float,uniform,GPU,"D | D | D | D",128,5,0.016384,0,0.038405,0.012288,0.1166,0.067077
2,float,uniform,GPU,"D | D | D | D",128,6,0.017408,0,0.038111,0.011264,0.115622,0.066783
2,float,uniform,GPU,"D | D | D | D",128,7,0.017408,0,0.038451,0.011264,0.117056,0.067123
2,float,uniform,GPU,"D | D | D | D",128,8,0.016384,0,0.039169,0.01536,0.121817,0.070913
2,float,uniform,GPU,"D | D | D | D",128,9,0.016384,0,0.038216,0.012288,0.11654,0.066888
2,float,uniform,GPU,"D | D | D | D",128,10,0.017408,0,0.038978,0.011264,0.117798,0.06765
2,float,uniform,GPU,"D | D | D | D",128,11,0.017408,0,0.0381,0.011264,0.123375,0.066772
2,float,uniform,GPU,"D | D | D | D",128,12,0.017408,0,0.038648,0.011264,0.117984,0.06732
2,float,uniform,GPU,"D | D | D | D",128,13,0.019456,0,0.038017,0.011264,0.119197,0.068737
2,float,uniform,GPU,"D | D | D | D",128,14,0.016384,0,0.038111,0.011264,0.115794,0.065759
2,float,uniform,GPU,"D | D | D | D",128,15,0.017408,0,0.039979,0.012288,0.119911,0.069675
2,float,uniform,GPU,"D | D | D | D",128,16,0.016384,0,0.0382,0.011264,0.116884,0.065848
2,float,uniform,GPU,"D | D | D | D",128,17,0.017408,0,0.038162,0.013312,0.121085,0.068882
2,float,uniform,GPU,"D | D | D | D",128,18,0.016384,0,0.157642,0.012288,0.2378,0.186314
2,float,uniform,GPU,"D | D | D | D",128,19,0.016384,0,0.037886,0.012288,0.116627,0.066558
2,float,uniform,GPU,"D | D | D | D",192,0,0.029472,0,0.073302,0.022528,0.187445,0.125302
2,float,uniform,GPU,"D | D | D | D",192,1,0.015648,0,0.054663,0.01536,0.142715,0.085671
2,float,uniform,GPU,"D | D | D | D",192,2,0.014272,0,0.054567,0.01536,0.141428,0.084199
2,float,uniform,GPU,"D | D | D | D",192,3,0.015808,0,0.054795,0.012288,0.139384,0.082891
2,float,uniform,GPU,"D | D | D | D",192,4,0.014208,0,0.055623,0.013312,0.138836,0.083143
2,float,uniform,GPU,"D | D | D | D",192,5,0.013152,0,0.054896,0.013312,0.13793,0.08136
2,float,uniform,GPU,"D | D | D | D",192,6,0.013984,0,0.05502,0.014336,0.138568,0.08334
2,float,uniform,GPU,"D | D | D | D",192,7,0.013984,0,0.054149,0.013312,0.138147,0.081445
2,float,uniform,GPU,"D | D | D | D",192,8,0.030112,0,0.054288,0.013312,0.152967,0.097712
2,float,uniform,GPU,"D | D | D | D",192,9,0.013248,0,0.054021,0.013312,0.136319,0.080581
2,float,uniform,GPU,"D | D | D | D",192,10,0.013984,0,0.054535,0.012288,0.137299,0.080807
2,float,uniform,GPU,"D | D | D | D",192,11,0.013952,0,0.054183,0.012288,0.136304,0.080423
2,float,uniform,GPU,"D | D | D | D",192,12,0.01392,0,0.054468,0.012288,0.138048,0.080676
2,float,uniform,GPU,"D | D | D | D",192,13,0.014048,0,0.054407,0.013312,0.136531,0.081767
2,float,uniform,GPU,"D | D | D | D",192,14,0.013312,0,0.053952,0.012288,0.136668,0.079552
2,float,uniform,GPU,"D | D | D | D",192,15,0.014336,0,0.054336,0.014336,0.137366,0.083008
2,float,uniform,GPU,"D | D | D | D",192,16,0.014432,0,0.054421,0.013312,0.138189,0.082165
2,float,uniform,GPU,"D | D | D | D",192,17,0.013664,0,0.05385,0.013312,0.136094,0.080826
2,float,uniform,GPU,"D | D | D | D",192,18,0.013376,0,0.054556,0.012288,0.137474,0.08022
2,float,uniform,GPU,"D | D | D | D",192,19,0.013632,0,0.054015,0.012288,0.136111,0.079935
2,float,uniform,GPU,"D | D | D | D",256,0,0.019168,0,0.07635,0.018432,0.182194,0.11395
2,float,uniform,GPU,"D | D | D | D",256,1,0.019008,0,0.05944,0.01536,0.160147,0.093808
2,float,uniform,GPU,"D | D | D | D",256,2,0.015904,0,0.05936,0.014336,0.154178,0.0896
2,float,uniform,GPU,"D | D | D | D",256,3,0.01504,0,0.060198,0.013312,0.15426,0.08855
2,float,uniform,GPU,"D | D | D | D",256,4,0.01408,0,0.060292,0.013312,0.153004,0.087684
2,float,uniform,GPU,"D | D | D | D",256,5,0.014624,0,0.060427,0.022528,0.16252,0.097579
2,float,uniform,GPU,"D | D | D | D",256,6,0.015264,0,0.06019,0.013312,0.152459,0.088766
2,float,uniform,GPU,"D | D | D | D",256,7,0.013568,0,0.060284,0.013312,0.152456,0.087164
2,float,uniform,GPU,"D | D | D | D",256,8,0.01392,0,0.060416,0.014336,0.153593,0.088672
2,float,uniform,GPU,"D | D | D | D",256,9,0.015456,0,0.059763,0.013312,0.15299,0.088531
2,float,uniform,GPU,"D | D | D | D",256,10,0.014016,0,0.060215,0.012288,0.153192,0.086519
2,float,uniform,GPU,"D | D | D | D",256,11,0.015232,0,0.059978,0.013312,0.153139,0.088522
2,float,uniform,GPU,"D | D | D | D",256,12,0.013824,0,0.059683,0.012288,0.151912,0.085795
2,float,uniform,GPU,"D | D | D | D",256,13,0.014016,0,0.060271,0.013312,0.153539,0.087599
2,float,uniform,GPU,"D | D | D | D",256,14,0.014912,0,0.060098,0.013312,0.152555,0.088322
2,float,uniform,GPU,"D | D | D | D",256,15,0.014048,0,0.059989,0.013312,0.15341,0.087349
2,float,uniform,GPU,"D | D | D | D",256,16,0.013248,0,0.059964,0.013312,0.153861,0.086524
2,float,uniform,GPU,"D | D | D | D",256,17,0.016704,0,0.060421,0.013312,0.159255,0.090437
2,float,uniform,GPU,"D | D | D | D",256,18,0.013472,0,0.059591,0.013312,0.152704,0.086375
2,float,uniform,GPU,"D | D | D | D",256,19,0.014688,0,0.060168,0.014336,0.153038,0.089192
2,float,uniform,GPU,"D | D | D | D",320,0,0.021024,0,0.075624,0.018432,0.193937,0.11508
2,float,uniform,GPU,"D | D | D | D",320,1,0.022048,0,0.073028,0.014336,0.186672,0.109412
2,float,uniform,GPU,"D | D | D | D",320,2,0.023584,0,0.071067,0.013312,0.185814,0.107963
2,float,uniform,GPU,"D | D | D | D",320,3,0.023648,0,0.071209,0.013312,0.185906,0.108169
2,float,uniform,GPU,"D | D | D | D",320,4,0.022016,0,0.070625,0.013312,0.183322,0.105953
2,float,uniform,GPU,"D | D | D | D",320,5,0.0224,0,0.070927,0.013312,0.183462,0.106639
2,float,uniform,GPU,"D | D | D | D",320,6,0.0232,0,0.071168,0.013312,0.184745,0.10768
2,float,uniform,GPU,"D | D | D | D",320,7,0.02352,0,0.070442,0.012288,0.183682,0.10625
2,float,uniform,GPU,"D | D | D | D",320,8,0.021728,0,0.071345,0.014336,0.18418,0.107409
2,float,uniform,GPU,"D | D | D | D",320,9,0.022496,0,0.070603,0.013312,0.182435,0.106411
2,float,uniform,GPU,"D | D | D | D",320,10,0.0232,0,0.070589,0.013312,0.184036,0.107101
2,float,uniform,GPU,"D | D | D | D",320,11,0.0176,0,0.070942,0.013312,0.177339,0.101854
2,float,uniform,GPU,"D | D | D | D",320,12,0.02272,0,0.070388,0.013312,0.1829,0.10642
2,float,uniform,GPU,"D | D | D | D",320,13,0.023104,0,0.071045,0.014336,0.183874,0.108485
2,float,uniform,GPU,"D | D | D | D",320,14,0.023264,0,0.070624,0.013312,0.183841,0.1072
2,float,uniform,GPU,"D | D | D | D",320,15,0.022208,0,0.070368,0.01536,0.18408,0.107936
2,float,uniform,GPU,"D | D | D | D",320,16,0.022752,0,0.070999,0.013312,0.183022,0.107063
2,float,uniform,GPU,"D | D | D | D",320,17,0.018048,0,0.070809,0.013312,0.179241,0.102169
2,float,uniform,GPU,"D | D | D | D",320,18,0.023392,0,0.072588,0.013312,0.188765,0.109292
2,float,uniform,GPU,"D | D | D | D",320,19,0.021952,0,0.070635,0.014336,0.182197,0.106923
2,float,uniform,GPU,"D | D | D | D",384,0,0.023808,0,0.056089,0.019456,0.196297,0.099353
2,float,uniform,GPU,"D | D | D | D",384,1,0.020768,0,0.04995,0.01536,0.180768,0.086078
2,float,uniform,GPU,"D | D | D | D",384,2,0.0192,0,0.049293,0.01536,0.175084,0.083853
2,float,uniform,GPU,"D | D | D | D",384,3,0.01696,0,0.048829,0.014336,0.173577,0.080125
2,float,uniform,GPU,"D | D | D | D",384,4,0.018112,0,0.048693,0.014336,0.172834,0.081141
2,float,uniform,GPU,"D | D | D | D",384,5,0.018336,0,0.04856,0.013312,0.173999,0.080208
2,float,uniform,GPU,"D | D | D | D",384,6,0.017568,0,0.04916,0.014336,0.174188,0.081064
2,float,uniform,GPU,"D | D | D | D",384,7,0.017344,0,0.048832,0.01536,0.173543,0.081536
2,float,uniform,GPU,"D | D | D | D",384,8,0.020384,0,0.055414,0.01536,0.183285,0.091158
2,float,uniform,GPU,"D | D | D | D",384,9,0.016736,0,0.048204,0.013312,0.172021,0.078252
2,float,uniform,GPU,"D | D | D | D",384,10,0.016512,0,0.048951,0.013312,0.176862,0.078775
2,float,uniform,GPU,"D | D | D | D",384,11,0.017056,0,0.048708,0.014336,0.172259,0.0801
2,float,uniform,GPU,"D | D | D | D",384,12,0.017824,0,0.047732,0.01536,0.171753,0.080916
2,float,uniform,GPU,"D | D | D | D",384,13,0.016448,0,0.048588,0.013312,0.171748,0.078348
2,float,uniform,GPU,"D | D | D | D",384,14,0.017344,0,0.048823,0.01536,0.173445,0.081527
2,float,uniform,GPU,"D | D | D | D",384,15,0.019104,0,0.048817,0.014336,0.176489,0.082257
2,float,uniform,GPU,"D | D | D | D",384,16,0.017632,0,0.048922,0.014336,0.241516,0.08089
2,float,uniform,GPU,"D | D | D | D",384,17,0.016224,0,0.048823,0.014336,0.264879,0.079383
2,float,uniform,GPU,"D | D | D | D",384,18,0.01632,0,0.048796,0.013312,0.172254,0.078428
2,float,uniform,GPU,"D | D | D | D",384,19,0.01696,0,0.048289,0.013312,0.172431,0.078561
2,float,uniform,GPU,"D | D | D | D",448,0,0.023808,0,0.086174,0.023552,0.246949,0.133534
2,float,uniform,GPU,"D | D | D | D",448,1,0.021952,0,0.079637,0.017408,0.226315,0.118997
2,float,uniform,GPU,"D | D | D | D",448,2,0.022912,0,0.078376,0.01536,0.226093,0.116648
2,float,uniform,GPU,"D | D | D | D",448,3,0.02176,0,0.077799,0.01536,0.223657,0.114919
2,float,uniform,GPU,"D | D | D | D",448,4,0.021152,0,0.07805,0.014336,0.224353,0.113538
2,float,uniform,GPU,"D | D | D | D",448,5,0.022336,0,0.07777,0.01536,0.222633,0.115466
2,float,uniform,GPU,"D | D | D | D",448,6,0.02192,0,0.077869,0.01536,0.223463,0.115149
2,float,uniform,GPU,"D | D | D | D",448,7,0.021504,0,0.078029,0.01536,0.223115,0.114893
2,float,uniform,GPU,"D | D | D | D",448,8,0.022016,0,0.077433,0.01536,0.223129,0.114809
2,float,uniform,GPU,"D | D | D | D",448,9,0.022112,0,0.077873,0.01536,0.2239,0.115345
2,float,uniform,GPU,"D | D | D | D",448,10,0.02032,0,0.078169,0.01536,0.222757,0.113849
2,float,uniform,GPU,"D | D | D | D",448,11,0.022208,0,0.077871,0.014336,0.223109,0.114415
2,float,uniform,GPU,"D | D | D | D",448,12,0.02192,0,0.078074,0.01536,0.223836,0.115354
2,float,uniform,GPU,"D | D | D | D",448,13,0.022464,0,0.077426,0.01536,0.223013,0.11525
2,float,uniform,GPU,"D | D | D | D",448,14,0.021888,0,0.077584,0.01536,0.222649,0.114832
2,float,uniform,GPU,"D | D | D | D",448,15,0.023136,0,0.077466,0.01536,0.223469,0.115962
2,float,uniform,GPU,"D | D | D | D",448,16,0.02272,0,0.078155,0.014336,0.22335,0.115211
2,float,uniform,GPU,"D | D | D | D",448,17,0.020576,0,0.0781,0.01536,0.222298,0.114036
2,float,uniform,GPU,"D | D | D | D",448,18,0.020768,0,0.077974,0.01536,0.223106,0.114102
2,float,uniform,GPU,"D | D | D | D",448,19,0.021216,0,0.077985,0.01536,0.223302,0.114561
2,float,uniform,GPU,"D | D | D | D",512,0,0.024,0,0.082979,0.021504,0.260405,0.128483
2,float,uniform,GPU,"D | D | D | D",512,1,0.019936,0,0.079157,0.01536,0.246238,0.114453
2,float,uniform,GPU,"D | D | D | D",512,2,0.023648,0,0.079172,0.017408,0.248842,0.120228
2,float,uniform,GPU,"D | D | D | D",512,3,0.023136,0,0.077696,0.016384,0.246561,0.117216
2,float,uniform,GPU,"D | D | D | D",512,4,0.02256,0,0.077082,0.016384,0.244696,0.116026
2,float,uniform,GPU,"D | D | D | D",512,5,0.03888,0,0.077056,0.017408,0.258995,0.133344
2,float,uniform,GPU,"D | D | D | D",512,6,0.021088,0,0.076314,0.01536,0.242408,0.112762
2,float,uniform,GPU,"D | D | D | D",512,7,0.023232,0,0.076377,0.016384,0.243609,0.115993
2,float,uniform,GPU,"D | D | D | D",512,8,0.022784,0,0.07682,0.016384,0.243278,0.115988
2,float,uniform,GPU,"D | D | D | D",512,9,0.022688,0,0.076531,0.016384,0.243388,0.115603
2,float,uniform,GPU,"D | D | D | D",512,10,0.022624,0,0.075882,0.016384,0.242104,0.11489
2,float,uniform,GPU,"D | D | D | D",512,11,0.022752,0,0.076829,0.01536,0.24347,0.114941
2,float,uniform,GPU,"D | D | D | D",512,12,0.022464,0,0.07625,0.016384,0.243917,0.115098
2,float,uniform,GPU,"D | D | D | D",512,13,0.023264,0,0.07649,0.01536,0.252545,0.115114
2,float,uniform,GPU,"D | D | D | D",512,14,0.039616,0,0.076897,0.016384,0.261091,0.132897
2,float,uniform,GPU,"D | D | D | D",512,15,0.022688,0,0.075936,0.017408,0.242319,0.116032
2,float,uniform,GPU,"D | D | D | D",512,16,0.022752,0,0.076044,0.01536,0.242947,0.114156
2,float,uniform,GPU,"D | D | D | D",512,17,0.023296,0,0.077051,0.016384,0.243756,0.116731
2,float,uniform,GPU,"D | D | D | D",512,18,0.027072,0,0.076687,0.017408,0.249045,0.121167
2,float,uniform,GPU,"D | D | D | D",512,19,0.022112,0,0.083256,0.01536,0.249672,0.120728
