dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,0,0.623072,0.004584,0.052409,0.316256,1.2908,0.996321
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,1,0.662688,0.004204,0.034908,0.057184,0.869241,0.758984
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,2,0.59888,0.00387,0.030331,0.0552,0.792243,0.688281
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,3,0.588832,0.003824,0.030443,0.05456,0.844988,0.677659
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,4,0.595296,0.003783,0.030604,0.052928,0.788763,0.682611
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,5,0.589152,0.003863,0.02999,0.053568,0.782401,0.676573
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,6,0.589696,0.003784,0.030372,0.0528,0.781581,0.676652
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,7,0.582016,0.00382,0.03065,0.055168,0.774528,0.671654
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,8,0.582464,0.003801,0.029695,0.053312,0.773948,0.669272
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,9,0.582368,0.003778,0.031063,0.053344,0.774365,0.670553
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,10,0.586912,0.003739,0.030882,0.054144,0.780795,0.675677
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,11,0.586336,0.004052,0.031494,0.054528,0.992886,0.67641
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,12,0.585344,0.003849,0.030574,0.052768,0.777853,0.672535
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,13,0.584224,0.003773,0.030453,0.052864,0.841241,0.671314
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,14,0.583872,0.003842,0.0305,0.054144,0.777153,0.672358
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,15,0.581056,0.003845,0.030811,0.053984,0.774017,0.669696
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,16,0.583968,0.003736,0.030797,0.055168,0.776393,0.673669
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,17,0.584288,0.003774,0.030052,0.053536,0.783286,0.67165
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,18,0.582688,0.003749,0.031174,0.05392,0.775752,0.671531
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",64,19,0.6056,0.003764,0.03059,0.0544,0.79878,0.694354
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,0,3.30813,0.004266,0.209273,0.210752,4.01367,3.73242
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,1,3.4337,0.004184,0.194344,0.207648,4.10695,3.83987
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,2,3.34304,0.004188,0.196964,0.200224,4.01291,3.74442
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,3,3.45222,0.003948,0.201538,0.202912,4.12686,3.86062
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,4,3.41549,0.003801,0.193941,0.20288,4.08254,3.81611
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,5,3.35978,0.003876,0.194282,0.201984,4.02691,3.75992
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,6,3.41302,0.003851,0.194621,0.198656,4.07591,3.81015
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,7,3.36016,0.003893,0.193189,0.199744,4.02112,3.75699
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,8,3.41949,0.003872,0.192401,0.199552,4.08058,3.81531
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,9,3.35485,0.003879,0.193539,0.201344,4.01729,3.75361
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,10,3.3447,0.003824,0.193815,0.200064,4.00828,3.74241
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,11,3.39904,0.00401,0.193261,0.198336,4.06072,3.79465
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,12,3.37123,0.004114,0.193771,0.204224,4.043,3.77334
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,13,3.3601,0.004262,0.195349,0.204128,4.14911,3.76383
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,14,3.42381,0.003981,0.195538,0.200864,4.09161,3.82419
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,15,3.40717,0.003762,0.196929,0.203264,4.07507,3.81112
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,16,3.35629,0.003851,0.194114,0.200928,4.02168,3.75518
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,17,5.19629,0.004725,0.224544,0.225888,5.94372,5.65144
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,18,3.43475,0.00382,0.194414,0.202624,4.09739,3.83561
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",128,19,3.35571,0.003814,0.19415,0.199744,4.01473,3.75342
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,0,11.7784,0.004262,0.608005,0.38896,13.3198,12.7797
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,1,11.9179,0.004225,0.591798,0.392224,13.445,12.9061
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,2,11.9704,0.004138,0.589357,0.38688,13.4858,12.9508
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,3,11.901,0.004256,0.590962,0.38944,13.4215,12.8856
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,4,11.9597,0.004396,0.588415,0.395392,13.4789,12.9479
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,5,11.9387,0.004434,0.589236,0.389344,13.4464,12.9217
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,6,11.8602,0.004393,0.589566,0.390752,13.3787,12.8449
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,7,12.0143,0.004151,0.591977,0.389824,13.5315,13.0003
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,8,12.0014,0.004195,0.590812,0.39184,13.5199,12.9882
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,9,11.8952,0.004289,0.588874,0.393888,13.415,12.8822
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,10,11.9244,0.004495,0.591932,0.389536,13.4456,12.9104
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,11,11.906,0.004299,0.58943,0.393504,13.4188,12.8932
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,12,11.9588,0.004203,0.589969,0.392192,13.4785,12.9452
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,13,11.8324,0.004351,0.590465,0.388608,13.3424,12.8158
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,14,11.9686,0.004226,0.587575,0.390848,13.4851,12.9513
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,15,11.8708,0.004482,0.592781,0.390464,13.3941,12.8585
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,16,11.9338,0.004375,0.591354,0.391328,13.4539,12.9208
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,17,11.9939,0.004405,0.589981,0.392864,13.5148,12.9812
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,18,11.9619,0.0043,0.587304,0.391616,13.4771,12.9451
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",192,19,11.9936,0.004335,0.592088,0.393568,13.5109,12.9836
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",256,0,28.3637,0.003776,1.39117,0.701184,31.815,30.4599
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",256,1,27.9232,0.00317,1.3644,0.688736,31.2928,29.9795
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",256,2,28.4459,0.004054,1.3662,0.689696,31.8624,30.5058
