dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,16,0.043616,0,0.03171,0.013312,0.140268,0.088638
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,17,0.037088,0,0.030566,0.013312,0.132023,0.080966
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,18,0.037504,0,0.0311,0.013312,0.132918,0.081916
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,19,0.036224,0,0.031068,0.012288,0.136657,0.07958
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,0,0.075008,0,0.049563,0.019456,0.203821,0.144027
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,1,0.069472,0,0.036017,0.01536,0.175405,0.120849
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,2,0.066016,0,0.035463,0.014336,0.167869,0.115815
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,3,0.065824,0,0.034301,0.012288,0.166094,0.112413
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,4,0.06512,0,0.034075,0.013312,0.165413,0.112507
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,5,0.065856,0,0.033903,0.012288,0.165292,0.112047
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,6,0.064224,0,0.033758,0.011264,0.163293,0.109246
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,7,0.064928,0,0.034518,0.012288,0.164171,0.111734
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,8,0.065184,0,0.034246,0.10752,0.259945,0.20695
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,9,0.065152,0,0.033765,0.012288,0.163959,0.111205
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,10,0.06432,0,0.034011,0.011264,0.162288,0.109595
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,11,0.065024,0,0.033249,0.012288,0.163131,0.110561
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,12,0.063936,0,0.034155,0.013312,0.163692,0.111403
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,13,0.0656,0,0.034678,0.013312,0.1649,0.11359
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,14,0.065504,0,0.03369,0.013312,0.163752,0.112506
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,15,0.064352,0,0.03407,0.01536,0.166918,0.113782
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,16,0.064192,0,0.033836,0.013312,0.16209,0.11134
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,17,0.064928,0,0.033538,0.012288,0.163173,0.110754
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,18,0.06432,0,0.033518,0.013312,0.163567,0.11115
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,19,0.063968,0,0.033902,0.011264,0.169404,0.109134
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,0,0.125952,0,0.055833,0.02048,0.265006,0.202265
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,1,0.110656,0,0.038769,0.019456,0.222682,0.168881
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,2,0.106528,0,0.036779,0.012288,0.209006,0.155595
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,3,0.10704,0,0.037482,0.012288,0.210867,0.15681
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,4,0.1064,0,0.037127,0.013312,0.2093,0.156839
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,5,0.106688,0,0.036307,0.012288,0.20909,0.155283
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,6,0.10704,0,0.037238,0.013312,0.210267,0.15759
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,7,0.113952,0,0.040527,0.012288,0.218878,0.166767
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,8,0.105472,0,0.036038,0.013312,0.206931,0.154822
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,9,0.106624,0,0.036628,0.012288,0.208626,0.15554
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,10,0.1064,0,0.036352,0.013312,0.208811,0.156064
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",192,11,0.10544,0,0.036543,0.013312,0.207602,0.155295
