dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",128,13,0.066656,0.004246,0.319653,0.05632,0.582363,0.446875
3,float,uniform,GPU,"D | D | D | D | N | D",128,14,0.063296,0.003641,0.32143,0.054272,0.577305,0.442639
3,float,uniform,GPU,"D | D | D | D | N | D",128,15,0.06416,0.003712,0.320596,0.055296,0.575909,0.443764
3,float,uniform,GPU,"D | D | D | D | N | D",128,16,0.064352,0.00359,0.319325,0.055296,0.575235,0.442563
3,float,uniform,GPU,"D | D | D | D | N | D",128,17,0.064,0.003619,0.321909,0.06144,0.592334,0.450968
3,float,uniform,GPU,"D | D | D | D | N | D",128,18,0.063296,0.00362,0.320337,0.055296,0.576575,0.442549
3,float,uniform,GPU,"D | D | D | D | N | D",128,19,0.062304,0.003625,0.319968,0.055296,0.583577,0.441193
3,float,uniform,GPU,"D | D | D | D | N | D",192,0,0.167456,0.003812,1.21057,0.218112,1.7523,1.59995
3,float,uniform,GPU,"D | D | D | D | N | D",192,1,0.168256,0.003659,1.19736,0.21504,1.72072,1.58432
3,float,uniform,GPU,"D | D | D | D | N | D",192,2,0.166848,0.003766,1.20838,0.212992,1.72577,1.59199
3,float,uniform,GPU,"D | D | D | D | N | D",192,3,0.167712,0.003702,1.20682,0.212992,1.7252,1.59122
3,float,uniform,GPU,"D | D | D | D | N | D",192,4,0.16592,0.00368,1.2104,0.214016,1.72976,1.59402
3,float,uniform,GPU,"D | D | D | D | N | D",192,5,0.167904,0.003753,1.21044,0.214016,1.73052,1.59612
3,float,uniform,GPU,"D | D | D | D | N | D",192,6,0.169088,0.003833,1.20625,0.21504,1.72928,1.59421
3,float,uniform,GPU,"D | D | D | D | N | D",192,7,0.167552,0.003671,1.20482,0.211968,1.72243,1.58801
3,float,uniform,GPU,"D | D | D | D | N | D",192,8,0.166336,0.004056,1.21198,0.214016,1.73318,1.59638
3,float,uniform,GPU,"D | D | D | D | N | D",192,9,0.167072,0.003694,1.20602,0.214016,1.72711,1.5908
3,float,uniform,GPU,"D | D | D | D | N | D",192,10,0.167584,0.00367,1.20934,0.212992,1.72642,1.59359
3,float,uniform,GPU,"D | D | D | D | N | D",192,11,0.166976,0.003724,1.21178,0.214016,1.73238,1.5965
3,float,uniform,GPU,"D | D | D | D | N | D",192,12,0.1672,0.003654,1.20748,0.211968,1.7274,1.5903
3,float,uniform,GPU,"D | D | D | D | N | D",192,13,0.167328,0.003709,1.20485,0.21504,1.72419,1.59092
3,float,uniform,GPU,"D | D | D | D | N | D",192,14,0.168096,0.003686,1.20957,0.212992,1.73808,1.59435
3,float,uniform,GPU,"D | D | D | D | N | D",192,15,0.168384,0.00368,1.20828,0.214016,1.72998,1.59436
3,float,uniform,GPU,"D | D | D | D | N | D",192,16,0.165632,0.003727,1.20721,0.214016,1.72286,1.59059
3,float,uniform,GPU,"D | D | D | D | N | D",192,17,0.166848,0.003664,1.20378,0.21504,1.72441,1.58934
3,float,uniform,GPU,"D | D | D | D | N | D",192,18,0.166944,0.003688,1.20588,0.21504,1.72609,1.59155
3,float,uniform,GPU,"D | D | D | D | N | D",192,19,0.165376,0.003598,1.20722,0.216064,1.73135,1.59226
3,float,uniform,GPU,"D | D | D | D | N | D",256,0,0.367328,0.00375,2.73979,0.489472,3.73426,3.60034
3,float,uniform,GPU,"D | D | D | D | N | D",256,1,0.36352,0.003196,2.69956,0.485376,3.69269,3.55165
3,float,uniform,GPU,"D | D | D | D | N | D",256,2,0.361632,0.003404,2.71288,0.49152,3.7051,3.56944
3,float,uniform,GPU,"D | D | D | D | N | D",256,3,0.358944,0.003777,2.7136,0.49152,3.70771,3.56784
3,float,uniform,GPU,"D | D | D | D | N | D",256,4,0.36512,0.003209,2.70776,0.49152,3.70093,3.56761
3,float,uniform,GPU,"D | D | D | D | N | D",256,5,0.363936,0.003169,2.72184,0.494592,3.71717,3.58353
3,float,uniform,GPU,"D | D | D | D | N | D",256,6,0.35808,0.003965,2.70908,0.490496,3.69927,3.56162
3,float,uniform,GPU,"D | D | D | D | N | D",256,7,0.360448,0.003294,2.71255,0.4864,3.69715,3.56269
3,float,uniform,GPU,"D | D | D | D | N | D",256,8,0.361696,0.003749,2.7135,0.488448,3.70674,3.56739
3,float,uniform,GPU,"D | D | D | D | N | D",256,9,0.357856,0.003171,2.71666,0.4864,3.69874,3.56408
3,float,uniform,GPU,"D | D | D | D | N | D",256,10,0.365792,0.003755,2.70874,0.485376,3.7015,3.56367
