dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,0,0.63568,0.004338,0.110178,0.442368,1.31662,1.19256
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,1,0.676512,0.003984,0.063605,0.0256,0.843104,0.769701
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,2,0.606368,0.003729,0.058241,0.023552,0.76229,0.69189
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,3,0.606176,0.00377,0.057392,0.024576,0.760864,0.691914
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,4,0.59648,0.0037,0.058147,0.024576,0.752711,0.682903
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,5,0.595488,0.003811,0.060461,0.0256,0.756614,0.68536
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,6,0.597984,0.003745,0.056385,0.024576,0.750731,0.68269
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,7,0.593856,0.003789,0.060053,0.024576,0.76301,0.682274
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,8,0.593568,0.003799,0.057212,0.023552,0.746552,0.678131
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,9,0.597856,0.003828,0.057743,0.022528,0.751925,0.681955
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,10,0.609152,0.003826,0.057229,0.024576,0.764032,0.694783
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,11,0.594528,0.003769,0.056255,0.024576,0.746944,0.679128
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,12,0.629632,0.003714,0.055873,0.023552,0.781829,0.712771
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,13,0.651296,0.003713,0.060922,0.024576,0.809934,0.740507
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,14,0.604384,0.003715,0.05602,0.022528,0.756756,0.686647
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,15,0.592928,0.003775,0.056401,0.023552,0.745694,0.676656
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,16,0.594784,0.003739,0.055541,0.024576,0.746057,0.67864
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,17,0.591488,0.003794,0.055934,0.022528,0.742508,0.673744
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,18,0.596832,0.003733,0.057344,0.024576,0.805113,0.682485
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,19,0.591808,0.003756,0.055925,0.022528,0.742216,0.674017
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,0,3.29773,0.004203,0.331356,0.145408,3.87702,3.7787
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,1,3.32698,0.00389,0.290014,0.134144,3.82913,3.75502
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,2,3.4257,0.003881,0.286573,0.135168,3.92965,3.85132
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,3,3.4359,0.003914,0.28775,0.131072,3.93196,3.85864
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,4,3.44182,0.003956,0.2844,0.13312,3.94225,3.8633
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,5,3.37264,0.003829,0.286819,0.135168,3.874,3.79846
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,6,3.33645,0.004064,0.290834,0.135168,3.84446,3.76651
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,7,3.33318,0.003802,0.285884,0.132096,3.82978,3.75497
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,8,3.37901,0.003954,0.286213,0.13312,3.87686,3.80229
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,9,3.33402,0.00388,0.291906,0.13312,3.83568,3.76292
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,10,3.38653,0.00382,0.288764,0.132096,3.88516,3.81121
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,11,3.3431,0.003962,0.287251,0.132096,3.84164,3.76641
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,12,3.3201,0.004021,0.291491,0.135168,3.82813,3.75078
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,13,3.34227,0.003895,0.286095,0.134144,3.84017,3.76641
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,14,3.45037,0.003726,0.287647,0.13312,3.94856,3.87486
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,15,3.41306,0.003879,0.28969,0.135168,3.91489,3.84179
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,16,3.44192,0.003727,0.288112,0.131072,3.93926,3.86483
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,17,3.42362,0.003646,0.284357,0.13312,3.91858,3.84474
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,18,3.32886,0.003821,0.282548,0.131072,3.8244,3.7463
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,19,3.37066,0.003963,0.286057,0.13312,3.86893,3.7938
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,0,11.7541,0.003863,0.875771,0.444416,13.1779,13.0782
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,1,11.8428,0.003757,0.847547,0.443392,13.2297,13.1374
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,2,11.8646,0.00389,0.844077,0.436224,13.2447,13.1488
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,3,12.1336,0.003934,0.847136,0.441344,13.5171,13.426
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,4,11.7849,0.003844,0.844489,0.433152,13.1537,13.0664
