dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ns",64,0,0.074752,0,0.047416,0.36352,0.570383,0.485688
1,float,uniform,GPU,"Ns | Ns",64,1,0.02048,0,0.02562,0.013312,0.109679,0.059412
1,float,uniform,GPU,"Ns | Ns",64,2,0.019456,0,0.021009,0.012288,0.098727,0.052753
1,float,uniform,GPU,"Ns | Ns",64,3,0.019456,0,0.020795,0.011264,0.098497,0.051515
1,float,uniform,GPU,"Ns | Ns",64,4,0.018432,0,0.020356,0.012288,0.098558,0.051076
1,float,uniform,GPU,"Ns | Ns",64,5,0.019456,0,0.020691,0.012288,0.098531,0.052435
1,float,uniform,GPU,"Ns | Ns",64,6,0.02048,0,0.020142,0.012288,0.104742,0.05291
1,float,uniform,GPU,"Ns | Ns",64,7,0.019456,0,0.02051,0.011264,0.097021,0.05123
1,float,uniform,GPU,"Ns | Ns",64,8,0.018432,0,0.020474,0.011264,0.097116,0.05017
1,float,uniform,GPU,"Ns | Ns",64,9,0.019456,0,0.020169,0.013312,0.097131,0.052937
1,float,uniform,GPU,"Ns | Ns",64,10,0.017408,0,0.019964,0.013312,0.097069,0.050684
1,float,uniform,GPU,"Ns | Ns",64,11,0.019456,0,0.020177,0.012288,0.097935,0.051921
1,float,uniform,GPU,"Ns | Ns",64,12,0.017408,0,0.020957,0.012288,0.096419,0.050653
1,float,uniform,GPU,"Ns | Ns",64,13,0.019456,0,0.020643,0.011264,0.097885,0.051363
1,float,uniform,GPU,"Ns | Ns",64,14,0.023552,0,0.020143,0.013312,0.10383,0.057007
1,float,uniform,GPU,"Ns | Ns",64,15,0.018432,0,0.020099,0.012288,0.097498,0.050819
1,float,uniform,GPU,"Ns | Ns",64,16,0.019456,0,0.020055,0.013312,0.097272,0.052823
1,float,uniform,GPU,"Ns | Ns",64,17,0.018432,0,0.020357,0.013312,0.097795,0.052101
1,float,uniform,GPU,"Ns | Ns",64,18,0.018432,0,0.02037,0.012288,0.097108,0.05109
1,float,uniform,GPU,"Ns | Ns",64,19,0.018432,0,0.02078,0.012288,0.09754,0.0515
1,float,uniform,GPU,"Ns | Ns",128,0,0.031744,0,0.029374,0.017408,0.133517,0.078526
1,float,uniform,GPU,"Ns | Ns",128,1,0.021504,0,0.022433,0.013312,0.104854,0.057249
1,float,uniform,GPU,"Ns | Ns",128,2,0.0256,0,0.021387,0.012288,0.106692,0.059275
1,float,uniform,GPU,"Ns | Ns",128,3,0.019456,0,0.020908,0.012288,0.097169,0.052652
1,float,uniform,GPU,"Ns | Ns",128,4,0.018432,0,0.020699,0.012288,0.096826,0.051419
1,float,uniform,GPU,"Ns | Ns",128,5,0.022528,0,0.021567,0.012288,0.101004,0.056383
1,float,uniform,GPU,"Ns | Ns",128,6,0.018432,0,0.020656,0.013312,0.097481,0.0524
1,float,uniform,GPU,"Ns | Ns",128,7,0.018432,0,0.021216,0.011264,0.096457,0.050912
1,float,uniform,GPU,"Ns | Ns",128,8,0.018432,0,0.021059,0.011264,0.09682,0.050755
1,float,uniform,GPU,"Ns | Ns",128,9,0.019456,0,0.020229,0.012288,0.096733,0.051973
1,float,uniform,GPU,"Ns | Ns",128,10,0.019456,0,0.020564,0.01536,0.108009,0.05538
1,float,uniform,GPU,"Ns | Ns",128,11,0.017408,0,0.020409,0.012288,0.096224,0.050105
1,float,uniform,GPU,"Ns | Ns",128,12,0.019456,0,0.020452,0.011264,0.096826,0.051172
1,float,uniform,GPU,"Ns | Ns",128,13,0.018432,0,0.02063,0.012288,0.099261,0.05135
1,float,uniform,GPU,"Ns | Ns",128,14,0.018432,0,0.020305,0.012288,0.096394,0.051025
1,float,uniform,GPU,"Ns | Ns",128,15,0.019456,0,0.020657,0.012288,0.101657,0.052401
1,float,uniform,GPU,"Ns | Ns",128,16,0.017408,0,0.019982,0.011264,0.096022,0.048654
1,float,uniform,GPU,"Ns | Ns",128,17,0.02048,0,0.020657,0.011264,0.098875,0.052401
1,float,uniform,GPU,"Ns | Ns",128,18,0.019456,0,0.020637,0.012288,0.097464,0.052381
1,float,uniform,GPU,"Ns | Ns",128,19,0.018432,0,0.02051,0.012288,0.098211,0.05123
1,float,uniform,GPU,"Ns | Ns",192,0,0.029696,0,0.032311,0.01536,0.133191,0.077367
1,float,uniform,GPU,"Ns | Ns",192,1,0.022528,0,0.023693,0.013312,0.10762,0.059533
1,float,uniform,GPU,"Ns | Ns",192,2,0.02048,0,0.023115,0.013312,0.102876,0.056907
1,float,uniform,GPU,"Ns | Ns",192,3,0.021504,0,0.021804,0.012288,0.107708,0.055596
1,float,uniform,GPU,"Ns | Ns",192,4,0.018432,0,0.022019,0.01536,0.103337,0.055811
1,float,uniform,GPU,"Ns | Ns",192,5,0.019456,0,0.021369,0.012288,0.099224,0.053113
1,float,uniform,GPU,"Ns | Ns",192,6,0.018432,0,0.021099,0.012288,0.098522,0.051819
