dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ns",192,12,0.017408,0,0.02769,0.012288,0.105197,0.057386
1,float,uniform,GPU,"Ds | Ns",192,13,0.018432,0,0.027759,0.012288,0.105813,0.058479
1,float,uniform,GPU,"Ds | Ns",192,14,0.023552,0,0.028492,0.011264,0.111278,0.063308
1,float,uniform,GPU,"Ds | Ns",192,15,0.018432,0,0.028307,0.012288,0.106265,0.059027
1,float,uniform,GPU,"Ds | Ns",192,16,0.02048,0,0.02735,0.012288,0.10648,0.060118
1,float,uniform,GPU,"Ds | Ns",192,17,0.017408,0,0.027452,0.012288,0.106837,0.057148
1,float,uniform,GPU,"Ds | Ns",192,18,0.019456,0,0.029747,0.012288,0.116776,0.061491
1,float,uniform,GPU,"Ds | Ns",192,19,0.018432,0,0.027409,0.012288,0.105333,0.058129
1,float,uniform,GPU,"Ds | Ns",256,0,0.038912,0,0.041863,0.0256,0.170871,0.106375
1,float,uniform,GPU,"Ds | Ns",256,1,0.021504,0,0.026705,0.013312,0.111994,0.061521
1,float,uniform,GPU,"Ds | Ns",256,2,0.018432,0,0.026025,0.012288,0.106954,0.056745
1,float,uniform,GPU,"Ds | Ns",256,3,0.019456,0,0.027418,0.011264,0.106391,0.058138
1,float,uniform,GPU,"Ds | Ns",256,4,0.018432,0,0.024635,0.011264,0.103046,0.054331
1,float,uniform,GPU,"Ds | Ns",256,5,0.019456,0,0.024736,0.012288,0.103538,0.05648
1,float,uniform,GPU,"Ds | Ns",256,6,0.019456,0,0.024753,0.011264,0.104554,0.055473
1,float,uniform,GPU,"Ds | Ns",256,7,0.019456,0,0.024779,0.012288,0.103363,0.056523
1,float,uniform,GPU,"Ds | Ns",256,8,0.018432,0,0.024939,0.01536,0.105267,0.058731
1,float,uniform,GPU,"Ds | Ns",256,9,0.018432,0,0.025133,0.012288,0.102438,0.055853
1,float,uniform,GPU,"Ds | Ns",256,10,0.019456,0,0.024616,0.011264,0.102768,0.055336
1,float,uniform,GPU,"Ds | Ns",256,11,0.018432,0,0.024614,0.012288,0.10258,0.055334
1,float,uniform,GPU,"Ds | Ns",256,12,0.019456,0,0.024825,0.012288,0.102185,0.056569
1,float,uniform,GPU,"Ds | Ns",256,13,0.018432,0,0.027968,0.012288,0.107079,0.058688
1,float,uniform,GPU,"Ds | Ns",256,14,0.019456,0,0.025119,0.012288,0.103196,0.056863
1,float,uniform,GPU,"Ds | Ns",256,15,0.019456,0,0.024619,0.012288,0.103826,0.056363
1,float,uniform,GPU,"Ds | Ns",256,16,0.018432,0,0.024996,0.012288,0.10253,0.055716
1,float,uniform,GPU,"Ds | Ns",256,17,0.018432,0,0.02488,0.012288,0.102663,0.0556
1,float,uniform,GPU,"Ds | Ns",256,18,0.022528,0,0.024916,0.011264,0.107189,0.058708
1,float,uniform,GPU,"Ds | Ns",256,19,0.017408,0,0.024887,0.012288,0.102288,0.054583
1,float,uniform,GPU,"Ds | Ns",320,0,0.03072,0,0.037551,0.022528,0.147364,0.090799
1,float,uniform,GPU,"Ds | Ns",320,1,0.021504,0,0.026082,0.012288,0.110185,0.059874
1,float,uniform,GPU,"Ds | Ns",320,2,0.02048,0,0.025852,0.014336,0.110442,0.060668
1,float,uniform,GPU,"Ds | Ns",320,3,0.018432,0,0.025302,0.012288,0.104456,0.056022
1,float,uniform,GPU,"Ds | Ns",320,4,0.017408,0,0.025207,0.013312,0.104677,0.055927
