dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | D",64,0,0.070976,0,0.073252,0.361472,0.601136,0.5057
1,float,uniform,CPU,"N | D",64,1,0.028352,0,0.029216,0.017408,0.130298,0.074976
1,float,uniform,CPU,"N | D",64,2,0.028256,0,0.024128,0.014336,0.121001,0.06672
1,float,uniform,CPU,"N | D",64,3,0.026688,0,0.023812,0.014336,0.116669,0.064836
1,float,uniform,CPU,"N | D",64,4,0.033376,0,0.023564,0.013312,0.12303,0.070252
1,float,uniform,CPU,"N | D",64,5,0.028512,0,0.023845,0.012288,0.117412,0.064645
1,float,uniform,CPU,"N | D",64,6,0.025824,0,0.023517,0.012288,0.115763,0.061629
1,float,uniform,CPU,"N | D",64,7,0.027008,0,0.023431,0.013312,0.115756,0.063751
1,float,uniform,CPU,"N | D",64,8,0.025312,0,0.023177,0.012288,0.114201,0.060777
1,float,uniform,CPU,"N | D",64,9,0.02576,0,0.023276,0.011264,0.114371,0.0603
1,float,uniform,CPU,"N | D",64,10,0.027104,0,0.023392,0.013312,0.212903,0.063808
1,float,uniform,CPU,"N | D",64,11,0.026624,0,0.023617,0.012288,0.115457,0.062529
1,float,uniform,CPU,"N | D",64,12,0.025248,0,0.024162,0.011264,0.113798,0.060674
1,float,uniform,CPU,"N | D",64,13,0.025632,0,0.024168,0.012288,0.116187,0.062088
1,float,uniform,CPU,"N | D",64,14,0.025536,0,0.023958,0.013312,0.113939,0.062806
1,float,uniform,CPU,"N | D",64,15,0.025568,0,0.024669,0.012288,0.115107,0.062525
1,float,uniform,CPU,"N | D",64,16,0.026272,0,0.0239,0.018432,0.121361,0.068604
1,float,uniform,CPU,"N | D",64,17,0.025632,0,0.023896,0.012288,0.114338,0.061816
1,float,uniform,CPU,"N | D",64,18,0.026848,0,0.023872,0.013312,0.115235,0.064032
1,float,uniform,CPU,"N | D",64,19,0.0328,0,0.02368,0.013312,0.121472,0.069792
1,float,uniform,CPU,"N | D",128,0,0.036256,0,0.039083,0.019456,0.158052,0.094795
1,float,uniform,CPU,"N | D",128,1,0.030336,0,0.027246,0.01536,0.129575,0.072942
1,float,uniform,CPU,"N | D",128,2,0.028192,0,0.025022,0.013312,0.121175,0.066526
1,float,uniform,CPU,"N | D",128,3,0.027648,0,0.02446,0.012288,0.118739,0.064396
1,float,uniform,CPU,"N | D",128,4,0.028256,0,0.024743,0.012288,0.118876,0.065287
1,float,uniform,CPU,"N | D",128,5,0.026816,0,0.024246,0.012288,0.122533,0.06335
1,float,uniform,CPU,"N | D",128,6,0.026176,0,0.024116,0.013312,0.116724,0.063604
1,float,uniform,CPU,"N | D",128,7,0.025344,0,0.024128,0.013312,0.1163,0.062784
1,float,uniform,CPU,"N | D",128,8,0.026912,0,0.024416,0.012288,0.116278,0.063616
1,float,uniform,CPU,"N | D",128,9,0.025632,0,0.023787,0.012288,0.116091,0.061707
1,float,uniform,CPU,"N | D",128,10,0.026208,0,0.024152,0.014336,0.116826,0.064696
1,float,uniform,CPU,"N | D",128,11,0.028512,0,0.023929,0.012288,0.118067,0.064729
1,float,uniform,CPU,"N | D",128,12,0.025952,0,0.024071,0.012288,0.114986,0.062311
1,float,uniform,CPU,"N | D",128,13,0.02592,0,0.024492,0.01328,0.115491,0.063692
1,float,uniform,CPU,"N | D",128,14,0.025184,0,0.024884,0.013312,0.115983,0.06338
1,float,uniform,CPU,"N | D",128,15,0.026144,0,0.024514,0.012288,0.122173,0.062946
1,float,uniform,CPU,"N | D",128,16,0.026304,0,0.024725,0.012288,0.115464,0.063317
1,float,uniform,CPU,"N | D",128,17,0.025632,0,0.02439,0.012288,0.118797,0.06231
1,float,uniform,CPU,"N | D",128,18,0.02608,0,0.024658,0.013312,0.116381,0.06405
1,float,uniform,CPU,"N | D",128,19,0.02544,0,0.024162,0.012288,0.114846,0.06189
1,float,uniform,CPU,"N | D",192,0,0.036352,0,0.039756,0.018432,0.158483,0.09454
1,float,uniform,CPU,"N | D",192,1,0.029312,0,0.027449,0.016384,0.127052,0.073145
1,float,uniform,CPU,"N | D",192,2,0.027648,0,0.025982,0.012288,0.12245,0.065918
1,float,uniform,CPU,"N | D",192,3,0.027072,0,0.025404,0.020512,0.126279,0.072988
1,float,uniform,CPU,"N | D",192,4,0.026848,0,0.02574,0.012288,0.117723,0.064876
1,float,uniform,CPU,"N | D",192,5,0.026144,0,0.025711,0.012288,0.116642,0.064143
1,float,uniform,CPU,"N | D",192,6,0.025696,0,0.025145,0.011264,0.116492,0.062105
