dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | D",64,0,0.073728,0,0.048582,0.356352,0.564571,0.478662
1,float,uniform,GPU,"N | D",64,1,0.021504,0,0.028102,0.013312,0.115345,0.062918
1,float,uniform,GPU,"N | D",64,2,0.019456,0,0.022267,0.012288,0.10316,0.054011
1,float,uniform,GPU,"N | D",64,3,0.018432,0,0.021708,0.011264,0.097954,0.051404
1,float,uniform,GPU,"N | D",64,4,0.018432,0,0.021529,0.012288,0.101361,0.052249
1,float,uniform,GPU,"N | D",64,5,0.02048,0,0.021607,0.013312,0.102211,0.055399
1,float,uniform,GPU,"N | D",64,6,0.021504,0,0.021726,0.012288,0.101693,0.055518
1,float,uniform,GPU,"N | D",64,7,0.0256,0,0.022164,0.012288,0.107899,0.060052
1,float,uniform,GPU,"N | D",64,8,0.02048,0,0.021864,0.011264,0.100256,0.053608
1,float,uniform,GPU,"N | D",64,9,0.019488,0,0.02142,0.011264,0.100985,0.052172
1,float,uniform,GPU,"N | D",64,10,0.018432,0,0.021604,0.011264,0.100535,0.0513
1,float,uniform,GPU,"N | D",64,11,0.022528,0,0.023442,0.012288,0.110288,0.058258
1,float,uniform,GPU,"N | D",64,12,0.018432,0,0.022121,0.011296,0.100528,0.051849
1,float,uniform,GPU,"N | D",64,13,0.019456,0,0.022416,0.011264,0.100596,0.053136
1,float,uniform,GPU,"N | D",64,14,0.018432,0,0.021606,0.012288,0.099965,0.052326
1,float,uniform,GPU,"N | D",64,15,0.017408,0,0.021522,0.012288,0.101075,0.051218
1,float,uniform,GPU,"N | D",64,16,0.019456,0,0.021456,0.012288,0.100514,0.0532
1,float,uniform,GPU,"N | D",64,17,0.018432,0,0.021235,0.012288,0.100232,0.051955
1,float,uniform,GPU,"N | D",64,18,0.019456,0,0.022056,0.011264,0.101464,0.052776
1,float,uniform,GPU,"N | D",64,19,0.018432,0,0.021688,0.011264,0.099502,0.051384
1,float,uniform,GPU,"N | D",128,0,0.033792,0,0.032342,0.017408,0.138777,0.083542
1,float,uniform,GPU,"N | D",128,1,0.02048,0,0.027173,0.013312,0.112007,0.060965
1,float,uniform,GPU,"N | D",128,2,0.02048,0,0.022613,0.013312,0.102989,0.056405
1,float,uniform,GPU,"N | D",128,3,0.019456,0,0.023095,0.011264,0.1013,0.053815
1,float,uniform,GPU,"N | D",128,4,0.018432,0,0.022293,0.012288,0.10199,0.053013
1,float,uniform,GPU,"N | D",128,5,0.019456,0,0.022568,0.013312,0.103403,0.055336
1,float,uniform,GPU,"N | D",128,6,0.021504,0,0.022539,0.013312,0.105448,0.057355
1,float,uniform,GPU,"N | D",128,7,0.018432,0,0.022142,0.011264,0.099676,0.051838
1,float,uniform,GPU,"N | D",128,8,0.019456,0,0.022591,0.011264,0.10013,0.053311
1,float,uniform,GPU,"N | D",128,9,0.019456,0,0.021748,0.011264,0.100404,0.052468
1,float,uniform,GPU,"N | D",128,10,0.019456,0,0.022421,0.012288,0.100902,0.054165
1,float,uniform,GPU,"N | D",128,11,0.019456,0,0.022227,0.012288,0.10044,0.053971
1,float,uniform,GPU,"N | D",128,12,0.019456,0,0.021784,0.012288,0.100092,0.053528
1,float,uniform,GPU,"N | D",128,13,0.019456,0,0.021964,0.012288,0.101599,0.053708
1,float,uniform,GPU,"N | D",128,14,0.017408,0,0.022094,0.012288,0.100792,0.05179
1,float,uniform,GPU,"N | D",128,15,0.022528,0,0.021889,0.012288,0.104953,0.056705
1,float,uniform,GPU,"N | D",128,16,0.019456,0,0.021769,0.012288,0.100895,0.053513
1,float,uniform,GPU,"N | D",128,17,0.018432,0,0.021925,0.011264,0.101176,0.051621
1,float,uniform,GPU,"N | D",128,18,0.018432,0,0.022319,0.013312,0.101861,0.054063
1,float,uniform,GPU,"N | D",128,19,0.019456,0,0.022227,0.012288,0.101585,0.053971
1,float,uniform,GPU,"N | D",192,0,0.031744,0,0.033561,0.016384,0.138706,0.081689
1,float,uniform,GPU,"N | D",192,1,0.022528,0,0.024407,0.013312,0.110331,0.060247
1,float,uniform,GPU,"N | D",192,2,0.019456,0,0.023904,0.011264,0.103837,0.054624
1,float,uniform,GPU,"N | D",192,3,0.02048,0,0.022887,0.011264,0.103332,0.054631
1,float,uniform,GPU,"N | D",192,4,0.02048,0,0.023198,0.012288,0.103524,0.055966
1,float,uniform,GPU,"N | D",192,5,0.019456,0,0.023178,0.011264,0.105759,0.053898
1,float,uniform,GPU,"N | D",192,6,0.019456,0,0.023058,0.011264,0.102068,0.053778
1,float,uniform,GPU,"N | D",192,7,0.018432,0,0.022871,0.012288,0.101953,0.053591
1,float,uniform,GPU,"N | D",192,8,0.019456,0,0.023384,0.012288,0.102039,0.055128
1,float,uniform,GPU,"N | D",192,9,0.022528,0,0.022933,0.011264,0.104354,0.056725
1,float,uniform,GPU,"N | D",192,10,0.019456,0,0.024055,0.012288,0.102992,0.055799
1,float,uniform,GPU,"N | D",192,11,0.019456,0,0.023393,0.012288,0.102692,0.055137
1,float,uniform,GPU,"N | D",192,12,0.02048,0,0.023717,0.012288,0.102978,0.056485
1,float,uniform,GPU,"N | D",192,13,0.018432,0,0.023345,0.011264,0.101936,0.053041
1,float,uniform,GPU,"N | D",192,14,0.019456,0,0.023316,0.012288,0.102878,0.05506
1,float,uniform,GPU,"N | D",192,15,0.018432,0,0.023967,0.012288,0.102841,0.054687
1,float,uniform,GPU,"N | D",192,16,0.019456,0,0.023427,0.012288,0.102471,0.055171
