dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ds",64,0,0.073792,0,0.080894,0.366592,0.61139,0.521278
1,float,uniform,CPU,"Ds | Ds",64,1,0.028352,0,0.031116,0.016384,0.130836,0.075852
1,float,uniform,CPU,"Ds | Ds",64,2,0.026752,0,0.025296,0.013312,0.118092,0.06536
1,float,uniform,CPU,"Ds | Ds",64,3,0.027328,0,0.024186,0.013312,0.116466,0.064826
1,float,uniform,CPU,"Ds | Ds",64,4,0.027296,0,0.024066,0.014336,0.116476,0.065698
1,float,uniform,CPU,"Ds | Ds",64,5,0.026112,0,0.024306,0.012288,0.11519,0.062706
1,float,uniform,CPU,"Ds | Ds",64,6,0.026496,0,0.024213,0.012288,0.115467,0.062997
1,float,uniform,CPU,"Ds | Ds",64,7,0.025248,0,0.024407,0.012288,0.113917,0.061943
1,float,uniform,CPU,"Ds | Ds",64,8,0.025984,0,0.024523,0.013312,0.115174,0.063819
1,float,uniform,CPU,"Ds | Ds",64,9,0.025728,0,0.025134,0.011264,0.114818,0.062126
1,float,uniform,CPU,"Ds | Ds",64,10,0.026496,0,0.024499,0.012288,0.115518,0.063283
1,float,uniform,CPU,"Ds | Ds",64,11,0.026624,0,0.024176,0.012288,0.114631,0.063088
1,float,uniform,CPU,"Ds | Ds",64,12,0.027168,0,0.024513,0.013312,0.115061,0.064993
1,float,uniform,CPU,"Ds | Ds",64,13,0.026592,0,0.023889,0.012288,0.11692,0.062769
1,float,uniform,CPU,"Ds | Ds",64,14,0.026368,0,0.023896,0.013312,0.114331,0.063576
1,float,uniform,CPU,"Ds | Ds",64,15,0.026176,0,0.02407,0.012288,0.114035,0.062534
1,float,uniform,CPU,"Ds | Ds",64,16,0.025632,0,0.023678,0.014336,0.114461,0.063646
1,float,uniform,CPU,"Ds | Ds",64,17,0.025216,0,0.023922,0.013312,0.114228,0.06245
1,float,uniform,CPU,"Ds | Ds",64,18,0.026592,0,0.023657,0.012288,0.114842,0.062537
1,float,uniform,CPU,"Ds | Ds",64,19,0.026912,0,0.023781,0.013312,0.11528,0.064005
1,float,uniform,CPU,"Ds | Ds",128,0,0.034848,0,0.040437,0.019456,0.156902,0.094741
1,float,uniform,CPU,"Ds | Ds",128,1,0.02912,0,0.027295,0.01536,0.127431,0.071775
1,float,uniform,CPU,"Ds | Ds",128,2,0.027072,0,0.025657,0.014336,0.118658,0.067065
1,float,uniform,CPU,"Ds | Ds",128,3,0.0264,0,0.025218,0.013312,0.11692,0.06493
1,float,uniform,CPU,"Ds | Ds",128,4,0.02608,0,0.025626,0.017408,0.122761,0.069114
1,float,uniform,CPU,"Ds | Ds",128,5,0.026496,0,0.024968,0.012288,0.115886,0.063752
1,float,uniform,CPU,"Ds | Ds",128,6,0.02608,0,0.024472,0.013312,0.115092,0.063864
1,float,uniform,CPU,"Ds | Ds",128,7,0.025792,0,0.024834,0.01328,0.121192,0.063906
1,float,uniform,CPU,"Ds | Ds",128,8,0.026304,0,0.024404,0.011264,0.114559,0.061972
1,float,uniform,CPU,"Ds | Ds",128,9,0.027456,0,0.024651,0.012288,0.115803,0.064395
1,float,uniform,CPU,"Ds | Ds",128,10,0.188544,0,0.024807,0.012288,0.280981,0.225639
1,float,uniform,CPU,"Ds | Ds",128,11,0.026048,0,0.024592,0.011264,0.114811,0.061904
1,float,uniform,CPU,"Ds | Ds",128,12,0.027104,0,0.024523,0.011264,0.11498,0.062891
1,float,uniform,CPU,"Ds | Ds",128,13,0.024096,0,0.024573,0.013312,0.114509,0.061981
1,float,uniform,CPU,"Ds | Ds",128,14,0.026176,0,0.024402,0.012288,0.115214,0.062866
1,float,uniform,CPU,"Ds | Ds",128,15,0.025856,0,0.024616,0.013312,0.115128,0.063784
1,float,uniform,CPU,"Ds | Ds",128,16,0.025696,0,0.02527,0.013312,0.117892,0.064278
1,float,uniform,CPU,"Ds | Ds",128,17,0.03488,0,0.025,0.014336,0.128961,0.074216
1,float,uniform,CPU,"Ds | Ds",128,18,0.026048,0,0.025195,0.011264,0.115027,0.062507
1,float,uniform,CPU,"Ds | Ds",128,19,0.026048,0,0.025638,0.012288,0.116642,0.063974
1,float,uniform,CPU,"Ds | Ds",192,0,0.036864,0,0.041154,0.019456,0.15794,0.097474
1,float,uniform,CPU,"Ds | Ds",192,1,0.030016,0,0.028512,0.016352,0.127688,0.07488
1,float,uniform,CPU,"Ds | Ds",192,2,0.028288,0,0.026653,0.013312,0.121667,0.068253
1,float,uniform,CPU,"Ds | Ds",192,3,0.029888,0,0.025978,0.012288,0.121271,0.068154
1,float,uniform,CPU,"Ds | Ds",192,4,0.026368,0,0.026109,0.013312,0.117452,0.065789
1,float,uniform,CPU,"Ds | Ds",192,5,0.025504,0,0.026519,0.013312,0.117473,0.065335
1,float,uniform,CPU,"Ds | Ds",192,6,0.026528,0,0.027089,0.012288,0.118092,0.065905
1,float,uniform,CPU,"Ds | Ds",192,7,0.026784,0,0.025818,0.013312,0.117503,0.065914
